Question,Subj_Q,Answer,Subj_A,Domain
كيف تسوق لخدماتك ومهاراتك على السوشيال ميديا ككاتب محتوى ,0,أرى أن  التسويق الأهم دائما  وأبدا  على مستوى عال  من الحرفية هو إنشاء معرض أعمال كبير وبجودة عالية جدا  وعبر موقع منفصل تماما   وبعيدا  عن معرض الأعمال  ألتفت في كلامي إلى الموقع  هذا الأمر برأيي مفيد جدا  جدا  لكل شخص يريد أن يحص ل أموالا  أكثر ضمن هذا المجال  ولكن كيف يحدث ذلك  الموقع يضفي أمر غاية في الحرفية حتى ولو كان بسيطا   يعطي هذا الهالة بقو ة  على أن ه  وبزيادة أيضا  يعطي هالة أخرى من التخصص والتفر غ للقيام بهذا الأمر  لذلك أنصح بالتسويق عبر إنشاء موقع ومنه تستطيع استخراج مواد كثيرة لتعزيز المحتوى التي ستنزل به في مواقع التواصل الاجتماعي  أنصح بتجن ب الانستغرام من التسويق  يكفي أن تضع في الحساب لمحة سوبر احترافية عنك  ثم  تتركه وتلتفت فقط إلى مسألة الفيسبوك ولينكدإن   الفيسبوك أداة عليها الناس كل هم  بمجر د دخولك يجب أن تكون صفحتك عبارة عن إنشغال دائم في تحقيق هدف ما  يقال بأن  الرحلة التي يعرفها الناس عنك  الرحلة التي تريد قطعها  في حال آمنوا بها الناس وبجودتها سيساعدونك على تحصيل زبائن أكثر أو قد يصبحون هم أوزل زبائنك  يلي ذلك لينكدإن الذي تكون عليه الشركات  حال أن تبقى active  في مسألة النشر أيضا   هذا سيعزز تفاعل أي شركة معك حين تتقدم إليها بعرض أعمال  لسبب واحد مهم  أن ك مهتم بهذا المجال وتحب ه  لا تشتغله وفقط  طبعا  مع ملاحظة  الانستغرام قد يكون مكانا  غير ملائم بالمرة بالنسبة للنشر لصانع محتوى لكنه على ذلك مكان ملائم جدا  لوجود الكثير من الشركات الناشئة وغيرها  إذا  يمكننا استخدامه لجمع الإيميلات  كزبائن محتملين ,1, اسأل I/O
كيف نضيف أدوات ترفيهي ة لا تشت تنا في بيئة العمل ,0,بالنسبة لي كانت أداة الترفيه الأولى لفاصل العمل تتمثل في كوب شاي  وسماع مقطع لا يتخطى الدقيقة  ولكن هناك أدوات أخرى كثيرة تحاكي مكعب الروبيك مثل تلوين ماندلا أو التلوين عامة  سودوكو  الكلمات المتقاطعة  ترتيب قطعة اللغز أو الليجو لو توفر وبما أننا مستقلون نعمل من منازلنا على الأغلب  فربما دقيقة ونصف في حوار مع أحد الأفراد في البيت أو إلقاء نكتة ولو ثقيلة الظل  تساهم في خلق بسمة حقيقية وتعيد النشاط للعمل مجدد ا ولكن هذه المقترحات التي ذكرتها هي للفصل بين دورتين من العمل بعمق وليس للتخلص من ملل العمل  لأن الملل معناه أنه لا شيء لنفعله ,1, اسأل I/O
ما هي أكبر مخاوفك في مجال عملك ,0,الحقيقة هي ليست مخاوف بقدر ما هي تحديات بالنسبة لي  عودتني تجربة الأيام ألا أخاف من شيئ لأن مغظم مخاوفنا تكون مجرد توهمات تقلل من إمكانيات العمل لدينا  أما التحديات فهي الوقت المحدود جدا مقابل ما أريد أن أنجزه  هناك الكثير مما أحب أن أقرأه وليست فقط قراءة بالمعنى الذي نعرفه ولكن مطالعة  Perusal  أو قراءة تأملية هادئة  ولكن الوقت ومشاغل الحياة تشغلني عن ذلك  ولذلك أرى أن الأولى أن نبدأ بالأولى و الألصق بحاجاتنا الضروية و ندع تلك الترفية إلى أن يحيت وقتها ,1, اسأل I/O
ما هي المعلومات التي نحتاجها لتصميم حملة تسويق إلكتروني لمشروع تجاري ,0,صحيح   لكل مسوق اسلوب وبصمة خاصة  لكن في التفصيليات  اما في العموميات نجد أن الكل يجب أن يسير على بروتوكولات محددة ومعايير متفق عليها مسبقا وهي مسببات النجاح الاساسية في اي حملة ومنها يمكن التنبؤ باستمرار الحملة او فشلها وهي عموما ,0, اسأل I/O
هل الأهم برأيك في الحياة أن تكون محبوبا  أم م حتر ما  ,1,من وجهة نظري أن الاحترام هو الأولى لعدة أسباب أهمها أن الحب من العمليات التي يصعب فرضها أو الحصول عليها أو تطبيقها وقتما يرغب الإنسان  فهو خاضع للعديد من العمليات المعقدة والمتداخلة  ولا يكون للإنسان أي دخل فيه أما الاحترام فهو سلوك اختياري يفرض نفسه عند تطبيقه بشكل صحيح حتى مع الأشخاص الذين لا يبادلوننا مشاعر الحب  فالاحترام يفرض الاحترام المتبادل  أما الحب فلا يفرض ذلك بالضرورة ثانيا   يمكن جلب الحب بالاحترام  ولكن يصعب جلب الاحترام بالحب وأخيرا   على المرء أن يسعى للوصول إلى تحقيق الاثنين قدر ما أمكن  ولكن مع الحرص من الجانب العاطفي لكي لا يتورط الإنسان في علاقات سامة يقع بسببها ضحية لتفضيل العاطفة على المعاملة الناضجة العقلانية ,1, اسأل I/O
ماذا تفعل لو سرق مديرك فكرتك وعرضها على الإدارة ,0,بالتأكيد لن يكون لدينا حلول ثابتة معممة للتعامل  لكن لماذا لا يكون طرح الأفكار الإبداعية من البداية في حضور أفراد الإدارة في الاجتماعات الدورية مثل ا أما ماذا أفعل إذا سرقت فكرتي  فهذا يعتمد على عوامل كثيرة  مثل ا هل يمكنني التواصل الخاص مع أحد أفراد الإدارة للدفاع عن حقي  ما هو رد الفعل المتوقع لمديري إذا علم أنني صرحت بملكيتي للفكرة  هل سوف يترصدني لاحق ا ويزعجني  هل الفكرة ضخمة ومؤثرة تستحق المغامرة هل لدي حلول بديلة في حال تصعدت الأمور لضرورة ترك العمل ,1, اسأل I/O
كيف نبدأ مسار ا مهني  ا جديد ا دون أن يتأث ر دخلنا ,0,ليس لدي تجارب شخصية في تغيير مساري المهني  غير أنني سمعت للكثيرين يشرحون هذا الأمر ولعل أبرزهم بالنسبة لي هو أ  أحمد أبو زيد مؤسس قناة دروس أونلاين  ترك عدة نصائح  منها جدير بالذكر أن تحديد الدافع والرغبة في التغيير أمر مهم جد ا  إذ يجب أن يكون الشخص واضح ا مع نفسه عند أخذ هذا القرار ولا يقوم به لأن كل الناس تفعل  فيعلم أنه سيقابل تحديات وعقبات  وعندما يكون لديه دافع قوي  كطلب سوق العمل  فهذا يشجعه في تخطي هذه العقبات ,0, اسأل I/O
إذا كان المال غير موجود وليس هدفا  في الحياة  كيف ستقضي يومك ,0,لابد أن نفكك العبارة ضياء  قد يكون المال غير موجودا  لأننا لا نطلبه ولا نسعى خلفه و بالتالي فيكون لي حينذاك اهتمامات أخرى  إذن فهو ليس هدفي في الحياة ولكن لي أهداف أخرى  الأمر الآخر أن أكون أتحرق شوقا إلى جمع المال وأكدح ولكن لسبب أو لآخر لا أحصل منه الكثير أو لا يوجد وهذا له إجابة أخرى  في الأفتراض الأول ولو كنت من أهله فإني لن أشقى بعدم وجود المال لأنه لا يشغلني كثيرا   فربما قضيت يومي في عملي الذي أحبه   حتى و إن كان لا يجلب لي المال  أو ربما قضيته في قراءة أشياء أشتهيها إلخ   أما إن كانت الأخرى  فإني أواصل الكدح و التفكير في أسباب جمع المال وأظن أن هذا من أسباب الشقاء أن يطلب الإنسان شيئا ويسعى خلفه ولا يجده ,1, اسأل I/O
هل عقل الانسان يعطي اشياء خاطئة عن ذاته ,1,العقل يتعامل بناء على المعلومات المتوفرة لديه  والمعلومات المخزنة في العقل الباطن  فإن خزنت المعلومات بشكل خاطىء فإن استداعها سيكون استدعاء لمعلومات خاطئة  لذا نعم  ي عت ب ر عقل الإنسان أحيان ا غير دقيق في تقدير ذاته  يمكن للعقل أن يعطي انطباعات خاطئة عن ذات الشخص أو يجعله يظن أنه ذكي أو يقي  م حالته النفسية بشكل غير دقيق  هذا ي عد جزء  من تحديات الإدراك البشري وقد يكون له تأثير على سلوك وتفاعلات الشخص مع الآخرين ومع العالم من حوله كذلك  قد يؤثر العواطف والمشاعر الشخصية على تقدير الشخص لذاته  حيث يميل إلى تضخيم إيجابياته وتجاهل سلبياته  أو العكس  على سبيل المثال  إذا كان شخص متحمس ا لهواية معينة  فقد يرى نفسه أكثر براعة فيها مما هو عليه في الواقع و قد يعتمد العقل على الذاكرة الذاتية  والتي يمكن أن تكون محدودة أو غير دقيقة في بعض الأحيان  قد يتذكر الشخص تجاربه الإيجابية بشكل أكبر من التجارب السلبية  مما يؤدي إلى انطباع خاطئ عن ذاته التحيزات المنطقية والوقوع بفخها فأغلبها سببها هو سوء تقدير من العقل  يمكنك القراءة بهم ستتضح لك الأمور أكثر ,1, اسأل I/O
هل الدراما الرمضاني ة انعكاس للمجتمع أم محتوى مؤث ر فيه ,1,برغم من أن السينما والدراما والأمور على أشكالها وجدت لتعالج يا علي  ولكني ما أجده إسفال وتناول المواضيع على غير شكالتها و وليس للعلاج يتم بث الأفكار وكأنها  عادي  فغالب ا يتم ربط الأمور بطريقة مخلة مثل ا يتم تحضير شخصية الرجل المنحرف الذي كل يوم مع فتاة بالمقابل يطعم المساكين وكأنهم يبثو أفكار ا سامة  كذلك الأمر يأتي بصورة الفتاة ذات الحجاب بأنها تقابل الرجل وكأنهم يردون ربط الحجاب ببعض الأمور هل الأمور موجودة بطبع ولكن طريقة العرض هادمة وليست هادفة ,1, اسأل I/O
