Question,Subj_Q,Answer,Subj_A,Domain
ماذا تفعل حين لا يوجد لديك الحافز للمذاكرة ,0,الحقيقة أنني في فترة الثانوية كنت أمل  المذاكرة ولذلك كنت أحايين كثيرة أذاكر أيضا  ولكن ما أعشقه من مواد  كنت أحب الرياضيات فكنت أعدها فسحة بالنسبة لي فكنت أقوم بحل بعض المسائل وأتسلى بها فلا يضيع الوقت كله بلا فائدة  قد لا تكون تلك الطريقة نافعة كثيرا  إلا أحسن من لا شيئ كما يقولون  الطريقة الأخرى  كنت أترك الكتب نهائيا  وأخرج لأتمشى وحدي في الطرقات أو بالليل فهذا من  شانه أن يفصلني عن جو الاستذكار ولو قليلا    أما في مرحلة الجامعة فكنت لا أستذكر إلا قليلا  وأقرأ أكثر في المجالات التي أحبها فكنت أمكث في مكتبة مدينتي العامة وحتى أترك المحاضرات و بالطبع لا أحبذه للكثيرين   ,1,التعلم والتعليم
هل من المنصف مقارنة أطفالنا دائما بإنجازات الأخرين و كسر أجنحة اطفالنا فقط لأنهم لا يفكرون مثلنا او لا يتبعون منهاج غير موافق لما توارثناه نحن عن اجدادنا   ,1,بكل تأكيد الإجابة لا  إن فكرة الاختلاف هي التي يجب أن تعتمد عليها المنظومة التعليمي ة والتربوي ة ككل  يجب أن نعل م الأطفال أن يتعر فوا على أنفسهم  ويتعرف وا على العالم من خلال أنفسهم  بهذه الطريقة تكون لهم وجهة النظر الفردي ة المختلفة  وبهذه الطريقة تكون لهم وجهة النظر المناسبة التي ي عتم د عليها فيما يخص الإبداع والاختلاف والأفكار الخل اقة ,1,التعلم والتعليم
هل يجب تدريس الصحة النفسية في المدارس ,0,لا أتفق مع حضرتك في هذه العبارة نهائيا   معرفته بحقوقه الإنسانية لا تمنع أبدا  أي شخص من التطاول عليه والتنم ر عليه  ثم هذا لن يمنحه ثقة أن يوقف المتجاوزين فعلا   أصلا  أرى بأن  هذه ليست وظيفته بالمر ة  ما هي وظيفته فعلا  أن يتعايش  نفسيا   بشكل لائق في مجتمع مؤذي  لا أن ي عد ل هذا المجتمع بأكمله ليستطيع أن يعيش به  العالم لم يكون ولن يكون مكانا  ملائما  100  للأطفال أو الكبار ولو حتى من التنم ر مهما تقد منا حضاريا   لا أعتقد أن  الأمر يجب أن يكون مباشرا  بهذه الطريقة  لدي مقترح قد يكون أشبه بحلم حقيقي قد يتحقق يوما  ما بالمدارس  وهو أن تكون المدارس ببيئتها تعمل عملية اللقاح  ما الذي أقصده بذلك  أقصد بأن  نمارس العكس تماما  في المدرسة  أي بدلا  من حماية الطفل وتقديم أفضل بيئة تعليمية وأفضل راحة له  أن نقد م له  فرصة محاكاة حقيقية للحياة  فرصة أن يكتشف قدراته ويواجه العقبات بها يوما  بيوم ولحظة بلحظة وأن يتعل م الاعتماد على نفسه وعلى الرفاق في الخروج من المآزق مهما كبرت  واحدة من هذه الأمور  أن نحقن الطفل نحن بتجارب تنم ر وأذى نفسي مدروس ونقوم بإعطاء الطفل الأدوات التي يمكنه عمليا  من حماية نفسه بها  هذه الطريقة برأيي أفضل بمئة مرة من كل منهاج نظري أو يقتصر فقط على المادة دون أن تكون ممارسة عملية يمكن تطبيقها أمام المشكلة مباشرة  ,1,التعلم والتعليم
إيلون ماسك يدعو إلى تقليل عدد سنوات الدراسة,0,يمكن تحسين النظام التعليمي بطرق متعددة يا رغدة  على سبيل المثال  يمكن الاستفادة من التكنولوجيا لتحسين جودة التعليم وزيادة فعاليته  يمكن إدخال تقنيات التعلم الذاتي لتمكين الطلاب من تعلم المواد بشكل أفضل وأكثر فعالية  يمكن أيض ا تحسين المناهج الدراسية لتناسب متطلبات العصر الحالي واحتياجات سوق العمل أيضا  يمكن تعزيز النظام التعليمي من خلال تطوير برامج تدريب المعلمين وتوفير الدعم اللازم لهم  كما يمكن العمل على تحسين بيئات التعلم والتعليم  وتوفير الموارد اللازمة لتعزيز التفكير الإبداعي والابتكار ,0,التعلم والتعليم
هل التعلم JavaScript بسرعة خطأ ,0,بصراحة  كورسات الزيرو جيدة جدا ومتعمقة بعض الشيء وهذا ما جعلني لا أستمر في كورساته  لكني سأعود قريبا للتعلم من قناته  وما ينقصها هو قائمة خاصة بدروس الرياكت تمنيت لو أنه يقوم بإعدادها وأنصحك بعد إتمام كورس الجافا سكريبت أن تنطلق في رحلة الفرايموورك  الBootstrap و React أو Vue js وغيرها  ,1,التعلم والتعليم
لماذا تركت جميع الأدوات التعليمية مثل كاهوت وكويزز واستخدم فقط كلاس بوينت,0,ربما سلمى تناسب أنظمة الويندوز والأوفيس  ولكنها قد لا تناسب أجهزة الماك و iOS وهواتف الجوالات  لكن بالتأكيد هذه الأداة مميزة وتساهم في تفاعل الطلاب وهي مكملة لبرنامج بوربوينت كما أنها تساهم في دعم أحجام الصفوف التفاعلية أيض ا  أرى أنه لابد عدم اهمال  كاهوت وكويزز أو غيره من لأدوات الاخرى مثل  Pear Deck  و إدمودو  Canva كل هذه تساهم في تفاعل الطلبة  ربما الاقتصار على أداة واحدة قد يبعث  في الطلبة الملل ,0,التعلم والتعليم
ما الغرض من التعليم ,0,الغرض من التعليم بالنسبة للدولة هو استثمار الثروة البشرية على مستوى الأفراد التعليم مهم لبناء شخصية واعية متفتحة بالإضافة للتخصص والشهادة في مجال ما لضمان عمل أو وظيفة أما الجامعات فهي جزء من منظومة التعليم التي تتبناها الدلة  وطبع ا لا أتحدث عن الجامعات الخاصة التي تعد كمشروع ربحي في المقام الأول كل ما سبق هو المفترض أن يكون  وهو ما لا يطبق واقع ا  لأن المنظومة التعليمية العربية بها الكثير من الخلل  ولا أنكر محاولات الإصلاح في التعليم الأساسي في دولة مثل مصر  لكن للأسف وضعت خطط الإصلاح ولم يتم تهيئة القائمين على العملية التعليمية ليتمكنوا من التجاوب مع هذه الإصلاحات أما المقارنة مع التعليم الغربي  برأيي  يكفي ان نشاهد عدة مقاطع عن مغتربينا في أي دولة غربية لنتأكد أنه لا مجال للمقارنة ,1,التعلم والتعليم
كيف استخدم التقنية و اجعل الطلاب يتفاعلون ويشاركون بالفصل الدراسي وبدون وجود اجهزة مع الطلاب ,0,المسابقات العلمية بين الطلاب في الفصل أيضا مجدية  فكان مدرس الرياضيات بعد شرح الدرس يخصص وقتا لطرح مسائل على كل ما سبق شرحه  وأول من يحل المسألة ويذهب لتصحيحها يحصل على مكافأة  هذه الطريقة جعلت هناك منافسة واستفادة قوية من الحصة  وحصلت على الدرجة النهائية في هذه المادة بالثانوية العامة كذلك طلب قراءة الدرس قبل شرحه من الطلاب  هذا يجعل هناك معرفة مسبقة وقدرة منهم على النقاش بشكل أفضل ,1,التعلم والتعليم
المنظور العالمي لأفضل الممارسات في جودة التعليم المدرسي,1,بطبع مريم  الجودة  وبناء معاييرها  غالب ا ما ينبني على أكثر من ركيزة فلا يمكن تحسين  جانب وإهمال الأخر ولعل أهم أسباب ضعف الأداء العام مرتبط بشكل كبير في التركيز ع متطلبات وتطلعات المعلمين وإدارين مع إهمال باقي جوانب       وأحيان ا تجد أن هناك أهتمام بأكثر من جانب ولكن الدائرة لا يمكن أن ينقص جزء منها للحصول على أفضل ممارسة ,1,التعلم والتعليم
لماذا ينبغي أن نشارك معرفتنا مع الأخرين  ,0,التعلم عن طريق تبادل المعرفة نوع من أنواع العدوى المفيدة للكل  و لا تقتصر مشاركة المعرفة على فرع علمي معين بل إن التبادل هو أساس انتقال الخبرة  و ابدأ من حيث انتهى الآخرون و لو بدأنا جميع ا من الصفر لعشنا في تخلف مستمر و تأخر في الاكتشاف  و كما قال توماس أديسون     أنا ابدأ دائما من حيث انتهى آخر رجل   كما تقتصر المشاركة فيما هو مفيد  و تجنب نشر الفاحشة و الأفكار السلبية,0,التعلم والتعليم
