Question,Subj_Q,Answer,Subj_A,Domain
لماذا ننسى أسماء الناس بسرعة ولا ننسى وجوههم ,1,وأعتقد أن ه  بعيدا  عن هذا السبب العلمي فعلا   هناك الأسباب المنطقية التي تدعوا إلى ذلك برأيي  الاسماء تتشابه مع الناس  اسم محم د اسمعه كثيرا  في مكان عملي والحياة عموما   أما وجه محم د الذي أقصده فهذا واحد لا يتغي ر  بالمقابل أيضا  أننا لا ن رم ز الوجوه بناء  على الوجوه فقط  بل ما علاقتنا أصلا  في هذه الوجوه  وجه الموظ ف الذي يعمل في الكراج أنت تحتاجه  تريده ولذلك تحفظ وجهه بسهولة  أم ا أن تتذك ر اسمه فهذا أمر أصعب ولو كنت أقابله كل يوم  بينما اسم ممرض أنا أحتاجه لكي أتوصل إلى الدواء الفلاني  مفقود من الأسواق  فهذا الاسم سأحفظه بكل تأكيد  ما يعني أن الأمر مبني برأيي بشكل أو ل لا على الفرق بين الوجه والاسم بل على الحاجة الحقيقية  ونحن غالبا  نحتاج لرسومات الوجوه أكثر من أسمائها ,1,الصحة والطب
كيف يمكنك تحسين تعاملك مع البشر حولك عبر منهجية التواصل الرحيم ,0,أعتقد أن  هذا الأمر جميل جدا  على المستوى المثالي للشخصيات وللعالم التي تكون به هذه الشخصيات  لكن أسأل سؤال مهم جدا  برأيي  هل هذه الصفات أصلا  مناسبة لعالمنا الحالي الذي يستلزم منك أسنانا  حقيقية للتعاطي مع مشكلاته  سأطرح مثالا  مما قد قمتي بإيضاحه الآن  ماذا لو كنت ه نا أتحد ث مثلا  مع بائع يقوم بغش  زبائنه  حيث أنا أقول له لا  وهو يعتقد أن  هذا ليس من شأني وبدأ يتواقح بالكلام معي وأبدى تفاعل غير محبب بالمر ة إلى أن وصل معه الأمر أخيرا  إلى طردي بطريقة مباشرة  هل الـ لا هذه البعيدة عن العنف  هل ال لا هذه البعيدة عن التحد ي وإبراز الوقاحة بالمقابل لصد  هذا الأمر هي لا قادرة على تغيير الموقف  أعتقد أن ما يجبرنا على أن نكون أشد اء في تعاملاتنا البشرية هو استفادة هؤلاء البشر السيئين من هذه اللطافة المبالغ بها في عالمنا  إن هم يستغلون هذا بشكل واضح دائما   يعو لون على رحمتنا واحترامنا لأنفسنا وللمحيط  أعتقد أن  ما طرحتيه حضرتك هو عين الصواب  على أن  خساراته كبيرة  بالمستوى النفسي على الأاقل ,1,الصحة والطب
الرهاب الإجتماعي   ,1,ارتفاع ضغط الدم ليس من أعراض الرهاب الاجتماعي الجسدية  قد يسبب سرعة ضربات القلب  واضطراب المعدة  ولكن لا يسبب ارتفاع ضغط الدمومن أهم الطرق التي يمكنها علاج الرهاب الاجتماعي دون أدوية هي إدارة القلق تحديدا كونه عرض أساسي يزيد من سوء الحالة ويصعب عليها الاندماج ضمن المواقف الحياتية العادية  سواء عن طريق تمارين التنفس أيضا من النقاط المهمة والمنتشرة بهذا الاضطراب  هو عدم التشخيص الصحيح من قبل الأفراد لأنفسهم  فهناك اعتقاد أن عدم الرغبة في المشاركة بالتجمعات والمقابلات والخجل منها هو اضطراب الرهاب الاجتماعي  لذا قبل الإقدام على ذلك الذهاب  لمختص والنقاش معه حول الأعراض ومعدل تكرارها وكذلك سيفحص المريض جسديا لمعرفة وجود أي أعراض  وهل هذا الاضطراب مرافق لأي مرض نفسي آخر أم لا  فالتشخيص الصحيح أول خطوة في خطة العلاج ,0,الصحة والطب
شهر رمضان  كيف يمكنني أن اكتسب عادات غذائية سليمة وأفقد وزني ,0,أهل ا وكل عام وأنت بخير  لقد وجدت الشخص الصحيح تمام ا  فرمضان السابق اتبعت نظام ساعدني على خسارة 5ك بدون أي حرمان من أي صنف إليك أهم النصائح عن تجربة حقيقية وفع الة  بداية أؤكد على معلومة فكرة الصيام ليس شر طا لنحافة بالعكس من أهم الأمور المسببة لبدانة لو تعامل مع الأمر بشكل عكسي  ففكرة صيام بحدود 12 ساعة ومن ثم الأكل بكميات كبيرة يعطي نتيجة سيئة ويسبب سمنة تمام ا كما يفعل بدناء السومراي فهم يمارسون الصيام ويتناولون بشراهة كبيرة وهذا من مسببات السمنة بشكل سريع نصيحتى لا تجعلي تخسيس الوزن الهدف   حاول الحصول على حياة صحية بتنويع الأغذية مع مراعاة كل الأطعمة من ألياف بروتين  سكر  كربوهيدرات   ستجدين نفسك تتمتعين بصحة جيدة وبخسارة الأوزان الزائدة من الدهون   فنحن نريد أن نتخلص من الدهون ولا نريد التخصل من العضلات  فبعض أنظمة التخسيس تعمل على تخسيس كلي بحيث تفقدين جزء من الكتلة العضلية وهذا غير المطلوب  ,1,الصحة والطب
ما هو الفرق بين المرض والمتلازمة والاضطراب ,0,المرض هو  أي أمر ناتج عن استجابة فسيولوجية سلبية حصرا  لعوامل خارجية أو داخلية  أما الاضطراب فهو مختلف تماما   حيث هو خلل سلبي في الوظائف الطبيعية أو العادية في الجسم أو في جزء من الجسم  خلل وليس تشو ها  أو أذي ة حقيقي ة في العضو أو تغي ر مميت أو خطير  لتأتي المتلازمة بتوصيف مختلف حيث تكون مجموعة من العلامات والأعراض التي تميز أو تشير إلى مرض معين  أشهر المتلازمات مثلا   متلازمة داون down syndrome  على أن  الخلط برأيي بينهم طبيعي وعادي من المجتمع الغير العلمي  أي من الناس  هذا أمر طبيعي لإن  حتى المجتمع العلمي الطبي يقول بأن  هناك أمور متشابهة بين الثلاثة بنود ويضيف إليهم الحالة أيضا  أو العرض الواحد condition  حيث يجب علينا أن هناك الكثير من العلماء واجهوا صعوبة كبيرة حتى استطاعوا وضع تعاريف محددة وفاصلة تفصل بين كل مصطلح لوحده عن الآخر  أنصح كل شخص يواجه صعوبة في التفريق بينهم أن يعود إلى المصطلح الأصيل في وصفه لكل خلل في المسائل الطبية الفسيولوجية وهو  المرض  ,0,الصحة والطب
حمية الانتباه   كيف يمكننا استعادة قدرتنا على التركيز لأوقات طويلة ,0,مواقع التواصل الاجتماعي كانت من أكثر المشتتات التي تعيقني على التقدم في عملي وفي زيادة الانتاجية  حذفت التطبيقات من الهاتف والحاسوب أفتح من المتصفح فقط  عند العمل أغلق مواقع التواصل الاجتماعي الخاصة بي أبنائي كذلك وطلباتهم تعمل على تشتيت ذكهني خاصة في الةقت الذي أحتاج فيه لتركيز شديد  اصبحت اختار وقت التركيز في الأوقات التي لا يكونون بالبيت  أعمل في المكتب وأغلق الباب وأكلف مهم الرعاية للأب  أجهز أغلب الطلبات التي اعرف أنهم يحتاجونها ,1,الصحة والطب
ما أسباب اعتيادنا على الطعام الجاهز حد الإدمان ,0,بالنسبة لي أنا لا أفضلها أبد ا  ولا ألجأ إلى الأطعمة الجاهزة إلا للضرورة أو في حالات السفر  وغالب ا ما تكون إما المشاوي أو الفلافل أما عدا ذلك فإنني لا أستطيع تقبلها وغالب ا ما أصاب بالأمراض المعوية  لعدم الاعتياد عليها  أشعر أن الإدمان يكون إضطراري ا للأشخاص الذين لا يملكون وقت ا كافي ا لتحضير وجباتهم ويلجؤون للحلول السهلة  ,1,الصحة والطب
ماذا يحدث لعقلك عند تعلم لغة جديدة ,0,اتحدث ٣ لغات    استطيع التفكير والتحدث بطلاقة بلغتين    أما اللغة الثالثة فبدأت تعلمها بعمر ٣٨ تقريبا وما اذال اجد صعوبة باستخدامها فتخونني الكلمات وعقلي يبدء باستخدام كلمات انجليزية لملء الفراغات     وهذا يولد ارتباك وخلط     اذا استثنينا العربة لغتي الام   فالانكليزية تحسن مستواها بسبب الكم الكبير من الكتب والفيديوهات التقنية والبرمجية التي اتابعها   بشكل يومي   ,1,الصحة والطب
لماذا نكره الاستيقاظ باكر ا ,1,أختلف معك بالجمع أننا نكره الاستيقاظ مبكرا   لأن من يستيقظ متأخرا  تجد أغلب من حوله كذلك  فلو كنت شخص من حوله كلهم يستيقظون مبكرا  تجد نفس العدوى لديك وتتأثر دون شعور رويدا  رويدا   والامر يعتمد أيضا  على نمط الحياة الذي يعيشه الشخص   والتغيير من نمط لآخر يحتاج إلى تدريج وليس فجأة  من الصعب على الجسم التكيف مع هذا التغيير الحاد  مما يؤدي إلى الشعور بالتعب والإرهاق  لأن من الصعب على الجسم التكيف مع هذا التغيير الحاد  ولتسهيل الاستيقاظ باكر ا  يمكننك الحفاظ على نمط النوم المنتظم  وتحديد وقت محدد للنوم والاستيقاظ يومي ا  حتى يتعود الجسم على هذا النمط  وتفادي تناول الأطعمة الدسمة قبل النوم  والاعتماد على الأطعمة الخفيفة والسهلة الهضم  وتخفيض درجة حرارة الغرفة وضمان وجود ظلام تام  حتى يتم تحفيز هرمون النوم  وممارسة التمارين الرياضية بانتظام  وخاصة في الصباح ,1,الصحة والطب
المكملات الغذائية المستخدمة في بناء العضلات     معنا أم علينا,0,لا اتفق معك عزيزتي مريم هناك فرق كبير من المكملات الغذائية والمنشطات الرياضية وبين الخشوات والزيوت   اما المكملات الغذائية فيهي فعلا المسيطرة وهي ظرورية ومهمة جدا     كل الفيتامينات والمعادن والبروتينات بأنواعها  اما المنشطات فهي ممنوعة ومحددودة الوصول  الكارثة الاكبر اليوم عي انتشار الزيوت البروتينية وهي حقن تؤخذ مباشرة في العضل   تقوم بتكبير العضلات بالنفخ فقط عن طريق تلك الزيوت  وهي زبوت مسرطنة ونتنهي في نعاية الموضوع الى انفجار او قطع العضلة المحقونة حسب قراءتي المكملات لغذائية الاساسية يجب ان تكون على 3انواع فيتامينات ومعادن وبرتينات    وكل واحدة منها يتم اخذها حسب احتياجات الجسم ومعطياته الحركية  ,0,الصحة والطب
