Question,Subj_Q,Answer,Subj_A,Domain
بماذا تنصحني لعدم الوقوع في فخ الديون ,0,النصيحة التي لن أدرجها ضمن تعداد النصائح في الأسفل هي الصدقة  إرسال جزء ولو رمزي للمؤسسات الخيرية أو المراكز العلاجية أو لمحتاج متعفف  هذا من أسس الإنفاق المتزن  الصدقة تزيد المال أما النصيحة الأولى والأهم فهي الاطلاع الدائم على ما يثري الثقافة المالية  سواء  قراءة الكتب مثل أسرار عقلية المليونير  الأب الغني والأب الفقير  أو الاطلاع على تجارب شخصية لآخرين  وإطلاع جميع أفراد الأسرة بما فيهم الأطفال على هذه السياسات النصيحة الثانية والتي لن تقل أهمية  هي تحديد المسؤوليات وترتيب الأولويات في إدارة النفقات ثالث ا  وضع ميزانية مفصلة تشمل الفواتير وكل أشكال الإنفاق المعتمدة رابع ا  تقديم الضروريات على الرفاهيات  مع تضمين الرفاهيات للخطة لكن بحدود مدروسة ضمن الإمكانيات خامس ا  عدم إهمال ادخار الطوارئ  مبلغ ولو بسيط شهري ا ي ستبعد كأنه لم يأت  ولا ي صرف منه إلا في الطوارئ الحرجة خامس ا  تجنب التسوق من خلال البطاقات المصرفية  لأن التعامل من خلالها يعد فخ ا حقيقي ا يشتت العقل عن التحكم في المال المنفق تجنب القروض والديون ما دام هناك فرصة لذلك  أو على الأقل منع الاستدانة في سبيل الكماليات تمام ا  وحصر ذلك على الظروف القهرية كنت سمعت مقطع ا يختصر كل ذلك في تقسيم الراتب لثلاثة أقسام ,1,انصحني 
ماذا أفعل لأحصل على عرض زواج مناسب وبطريقة مناسبة ,0,لا أستنكر مطلقا تناول الزواج من هذا المنطلق  لكنه ليس المنهج الذي أحبذه بشكل شخصي  أرى أن فكرة الزواج يجب أن تقوم على الشخص نفسه  وعليه  فأنا أختلف معك فيما يتعلق بفكرة التعامل مع الزواج على صعيد المعايير  فمن منطلق اجتماعي  ذكرتي أنك طبيبة  وتطرقتي منها إلى مكانتك الاجتماعية وخلافه  لكن في المقابل الزواج بطبيعته المعاصرة يتطلب الكثير  وأول هذه المتطلبات هي المعرفة الحقة والمعمقة بالشخص  لهذا أقترح عليك أن تمسكي بزمام الأمور لبعض الوقت  وتنتظري الشخص المناسب الذي يشعل فكرة التوأمة معه في رأسك  لا أن تعتمدي على الزواج كمفهوم مجرد يأتي بعده اختيار الشخص ,1,انصحني 
كيف يجب التعامل مع اصحاب الانا المتضخمة  وكيف نفرق,0,بكل أسف  بعض الأصدقاء ينتمون إلى هذه الفئة من اﻷشخاص  وفي هذا السياق لا يسعنا إلا أن نتجنبهم  الكثير من الفرص سمحت لي بتجريب أكثر من آلية  الكثير من المواقف منحتهم فرصة لتحسين سلوكهم  على الأقل تجاه من يعرفونهم ومن هم قريبون منهم  لكن في المقابل  أدركت بعد فترة أن هذه النبرة والصفة لا تمنح لصاحبها فرصة التعلم أبدا  وبالتالي يجب علينا التعامل مع الوضع كما هو عليه  وإذا لم نكن مضطرين للتعامل مع حامل هذه الصفة  فإن تجنبه وتسطيح علاقتنا به هو الحل الأمثل على الإطلاق ,1,انصحني 
إذا أردت شيئ ا بقوة فأطلق سراحه  فإن عاد إليك فهو ملك لك للأبد  وإن لم يعد فهو لم يكن لك من البداية   هل تطبقها ,0,لا يوجد إجابة صحيحة أو خاطئة بشأن هذا الموضوع  فالأمر يعتمد على الشخص والظروف التي يواجهها  في بعض الأحيان  قد يكون من الأفضل ترك هدف معين والتوجه نحو هدف آخر يمكن تحقيقه بسهولة أكبر أو يكون أكثر تناسبا  مع الظروف الحالية  وفي بعض الأحيان  يمكن أن يكون من الأفضل التمسك بالهدف والعمل بجد لتحقيقه رغم الصعوبات التي قد تواجهه المهم في النهاية هو أن تفعلي ما يشعرك بالراحة   وأن تتخذي  القرار الذي يجعلك سعيدة ويساعدك على تحقيق النجاح والرضا الذاتي في المستقبل  لا مانع أن تقومي بالتركيز على هدف جديد أو تعديل الأهداف الحالية بحيث تتناسب مع ظروفك الجديدة ,0,انصحني 
قررت في الآونه الاخيرة إنشاء مشروع خاص بإنتاج الجبن  بماذا تنصحوني ,0,لا ععلم فعليا هل يمكن ان ينجح مشروع صناعة الاجبان عندك لان الامر يحتاج العديد من المعطيات  ستحتاج الى القيام بدراسة شاملة للموضوع اما بدراسة جدوى اذا كانت منطقتك منتظمة ومدارة جيدا  او ان تقوم بقراءة ذاتية للسوق المحلية اذا كنت تقيم في اماكن ليس لذيها سوق واضح    الافضل ان تفعل الامرين ان امكن ذلك  ضع في اعتبارك طبيعة المستهلكين  وادرسهم جيدا  وطبيعة السوق  والمنافسين  وركز على بصمتك الخاصة   على العموم توجد مجموعة من الشروط الاساسيو في نجاح اي مشروع  في حال اخترت مشروع الاجبان او مشروع اخر عليك ان تضعها في الاعتبار هي في العموم تصب في ,0,انصحني 
لا أستطيع الاندماج مع فريق العمل  بماذا تنصحوني ,0,أظن أن المشكلة تكمن في أنكم من جنسيات مختلفة وإلا ففي هذه الحالة عليك أنت أن تراجع نفسك أولا   لا مشكلة في البداية في أن تضييق بالتعامل معهم لأنك بالطبع لك لغة مختلفة   أقصد لهجة عربية مختلفة   وهو ما قد يمثل حاجزا  أولا وعائق  أظن أن الأمر سيستغرق بعض الوقت ويتلاشى ويذوب الجليد فيما بينكم  أما الرفض التي تواجه من بعضهم فلا تهتم كثيرا  به ففي المقابل أنت تقول لديك من يعاملك معاملة جيدة ضمن إطار العمل  حاول أهم شيئ أن تتميز في عملك و كسر الجليد سوف يذوب من تلقاء نفسه  أما الطرق أن تحاول أن تتحدث معهم بعد أوقات العمل عنك كإنسان وهم يتحدثوا عن أنفسهم كناس عاديين بطموحات و إخفاقات و أماني و إلخ   فذلك ما يحعلكم ترون بعضكم عاريين أمام بعضكم البعض وكذلك يخلق جوا  من الود و التعاطف الإنساني بينكم فلا يصير الأمر كله عمل فقط بل تواصل إنساني ,1,انصحني 
لماذا أشعر ان الاخرين افضل  ,1,هذه من اعراض الإكتئاب وقد تكون لها دوافع نفسية أخرى من المحتمل ان ماتتحدث عنه صحيح ومحتمل ليس كذلك حاول ان تاخد الامر بأقل قدر من المبالاة وتعمل على تطوير نفسك وتكافئها ,1,انصحني 
أيهما الأفضل   الاختيار بين عمل قليل المردود يمنحني الوقت لتطوير نفسي وبين عمل عالي المردود ي عتبر كفرصة لا ت عو ض,1,فعلا  ضياء قد يواجه جميعنا في لحظة من لحظات حياتهم مثل هذا التحدي  وهو قد يترجم إلى  أيهما تفضل المال الكثير مع عمل عادي قد لا تجد فيه نفسك أم عمل قليل المردود يمنحك الفرصة و الوقت للعمل على ما تحبه  هنا اختيار صعب ولكن إذا كان ذلك الغمل قليل المردود سيمنحك بالفعل بونسبة تتجاوز ال ثمانين بالمائة لتطوير نفسك بحيث تجد نفسك بعد فترة في ماكن ترضاه لنفسك فتمسك به  إما إن كنت تشك في ذلك  فالعمل الذي يجلب لك المال الكثير هو الأولى بالإختيار لأن الناس   أولا وأخيرا   تعمل من أجل المال ولكن منهم من يجلبه بطريقة ممتعة له تستهويه ومنهم من يضغط نفسه من أجله هو فقط ,1,انصحني 
انصحني بكيفية التخفيف على أهلي وزوجتي ثقل غيابي ,1,لا يسعني بالتأكيد أن أنصحك  في هذا الوضع الصعب بالقدر الكافي  أو ل ا  يهم ني جد  ا تقدير الموقف  حيث أن ني أشج عك  فعل ا على شجاعتك على مشاركة هذه الأزمة وقدرتك على إدارة الوضع بهذه القو ة  لك كل  التوفيق إن شاء الله يا صديقي ومن الناحية الأخرى  فيما يتعل ق بالنصائح التقني ة المتعل قة بهذه الفكرة  فإن العمل على التخل ص من آثار الغياب والفرقة أمر ممكن للغاية  في البداية  أجد أن غرس قيمة العمل في الأسرة بأكملها هو طوق النجاة  حيث أنه يساهم في تحفيز مختلف أفراد الأسرة نحو اتخاذ المسالك المتعد دة التي تساعدهم على هذا الوضع  وبالتالي فإن الوضع رغم صعوبته  يمكنك تحويله إلى دافع وهدف أمامكم جميع ا  تتكاتفون من أجل إحراز كل خطوة تقد م ممكنة فيه ,1,انصحني 
أفتقر إلى الدافع في العمل ولا أعلم كيف يمكنني استعادته   هل من نصيحة ,1,ما دامت كل العوامل الخارجية ليست ذات أثر على حالتك  وخمولك فأنصحك بالتوجه لطبيب عام ليخبرك عن بعض التحاليل الطبية لتقوم بها  ربما لديك نقص في بعض العناصر أو الفيتامينات  جدير بالذكر أن نقص فيتامين د مثل ا يسبب الكسل والخمول والحزن غير المبرر وقد يصل النقص الحاد فيه للإصابة بالاكتئاب ,0,انصحني 
