Question,Subj_Q,Answer,Subj_A,Domain
لو كانت  لديك فرصة لقضاء عيد الفطر أنت وأهلك في  مكان ما  ماذا سيكون ,0,مكة المكرمة  أعتقد أن أجواء العيد هناك تكون مختلفة بعد انتهاء المسلمين من أداء عمرة رمضان ,1,تسلية
ما هو أكثر شيء ترغب في تحقيقه خلال الخمس سنوات القادمة ,0,أرغب في تحقيق استقرار استثماري مقنع خلال السنوات الخمس القادمة  من خلاله أستطيع تحقيق المزيد من الأرباح المستقبلي ة  وبالتالي أتو ج العمل بتوق عات ربحي ة تمك نني من التفر غ للكتابة الإبداعية  هذا هو السيناريو الذي أطمح إليه خلال الفترة القادمة  وأسعى دائم ا إلى تحقيقه  لكنني في الوقت الحالي لست  متأك د ا من عملي على هكذا سيناريو بالطريقة المناسبة  لذلك أرغب في إعادة حساباتي خلال الشهر القادم وتحسين بعض الاستراتيجي ات المهني ة المت بعة في هذا الصدد ,1,تسلية
سواء كنت من  المغرب العربي  بلاد الشام  اليمن أو مصر   ما هي عاداتكم  في شهر رمضان ,0,كل عام وأنتم بخير  ,1,تسلية
مسلسل كرتوني أو برنامج تلفزيوني  رمضاني شاهدته في صغرك وتتمنى عودته مجددا   ما هو ,0,هناك شيء غريب كان يؤث ر علي  جدا  أثناء طفولتي ويشعرني بسعادة غير طبيعية فعلا  أثناء المشاهدة على بساطته طبعا  هو التحول الذي كان يطرأ على قناة سبيستون دونا  عن غيرها في مسألة البصريات والمحتوى ضمن هذا الشهر  ضمن هذا الشهر تقوم القناة بإعداد بصري كامل مناسب لشهر رمضان المبارك لتغدو كل إعلاناتها ووقفاتها وطريقتها بالعرض أشبه باحتفال رمضاني وطقوس ومعلومات لا تنتهي  هذه الثيمة كانت تؤث ر علي  جدا  وأتمنى أن تستمر القناة بهذا الأمر إلى يومنا  لا يوجد عندي معلومات حقيقية عن الأمر في هذه اللحظة  ,1,تسلية
ما هي أفضل أكلة تطهيها بنفسك على الاطلاق ,1,أنا متميزة جد ا في طهي وإعداد أكلة المقلوبة  و ربما تعد الوجبة الرئيسية في منزلنا ,1,تسلية
للقراء والمثقفين ومتابعي السينما ايض ا  دعونا نتسلى قليلا,1,ما الأدب  جان بول سارتر ,1,تسلية
لنلعب قليل ا  لعبة اسم نبات حيوان جماد,0, قمر    قاسم   قرد   قلم   برتقال  قيرغيزستان   ,0,تسلية
ما هي الأشياء التي تفعلها بغرض الترفية والاستمتاع دون إنفاق أي مال ,0,لااعتقد بوجود نشاط فعال من دون انفاق اي مال او جهد وان كان يمكن تقنين واختيار مايمكن الاستفادة منه والاستمتاع في نفس الوقت اذكر من تلك النشاطات التالي ,1,تسلية
إن تسنى لك الجلوس مع شخصية عامة حالية أو تاريخية لساعة كاملة  ما هو موضوع النقاش الذي ستخوضه معه ,1,إذا أتيحت لي الفرصة لإجراء مقابلة مع شخصية عامة  كنت سأختار التحدث مع نيلسون مانديلا  إن إرث مانديلا كمقاتل ضد الفصل العنصري في جنوب إفريقيا وعمله اللاحق في المصالحة وبناء السلام أمر رائع حق ا ,1,تسلية
أطلق العنان لمخيلتك  وأخبرنا  ما هو الحوار الذي تتخيل أنه يدور في هذه الصورة ,0,تبعا  لمزاجي السيء اليوم الحوار كالتالي ,1,تسلية
ما هي الشخصيات التي تتابعها ,0,بودكاست وعي ,1,تسلية
ما هي الأشياء التي تفتقدها الأن كانت موجودة في مرحلة طفولتك,1,يا للمصادفة لؤي   يبدو أنني مصابة بالنوستولجيا ,1,تسلية
نحن فنار الملاحة  الميناء   والقرار إليك في نهاية الأمر It s Your Call,0,ربما علينا أن نحاول الفهم اولا قبل قبول او رفض اي قرار  والا فإن النتيجة ستكون  اصطدامنا  بالنتائج الكارثية  كما كان سيحدث مع حاملة الطائرات هنا  حقا نحتاج إلى هذه المبادئ في وقتنا الحالي ,1,تسلية
فزورة ورائها مفهوم علمي هاما للغاية,1,هذا مرهون على نوع هذه المباريات  هي سيتبارون ثنائيات فقط ومن ربح تأهل ليتبارى مجددا ,0,تسلية
في اليوم العالمي للغة العربية  شاركنا بكلمات   تجدها في لغات عالمية ,0,على الرغم من أن الكثير من الأشخاص لا يعلمون شيئ ا عن مثل هذه الأمور  فإن النهضة العربية في فترة من الفترات  وامتزاد النهضة الفارسية معها في إطار الثقافة الإسلامية  قد تحل ت بالكثير من التقد م  مم ا ساهم في الكثير من التأسيسات التي كان لأهل المنطقة دور كبير فيها  على الصعيد العلمي والأدبي والتاريخي   إلخ ,1,تسلية
ما هي أكثر المصطلحات أو الكلمات العامية المستخدمة في بلدك ,0,الكلمات السورية مشهورة ومعروفة في الوطن العربي ويميزها النطق واللكنة السورية عن باقي لهجات بلاد الشام مثل   ,1,تسلية
لو ط لب منك وصف رائحتك المفضلة لشخص يفتقد حاسة الشم  كيف سيكون وصفك ,1,مهما وصفنا الروائح التي نحبها لشخص فاقد هذه الحاسة  لن نستطيع أن نوصل له ما نقصده فعلا بوصفنا  فخاصة إن كان قد فقد هذه الحاسة في عمر صغير جدا  أو ولد فاقدا لها  هو لا يفهم أصلا ماهية الرائحة  ولكن يمكنني أن أصف له إحساسي عندما أشم تلك الرائحة  فهو سيفهم وصفي للإحساس أكثر من وصفي للرائحة  فمثلا  عندما أشم رائحة الأرض بعد أول شتاء  أشعر بإحساس من التجدد والسلام والارتواء  يمكنني الاستفاضة في وصف تلك الأحاسيس  فمجرد دخول تلك الرائحة إلى فمي  أشعر أنه باستطاعتي التنفس بشكل أعمق وأفضل  وتتغير نظرتي إلى ما يحيط بي ,1,تسلية
عندما تقرأ  كتاباتك   القديمة   ,1,يحصل ذلك  مع الجميع  ومعي أيضا  إما لأنني أجد كتاباتي القديمة أقل مستوى من ما أن عليه اليوم  وذلك يفعل الخبرة  أو قد أعجب بالكتابات ولكن أستغربها لأنها لم تعد تعبر عن ميولي الحالية  وفي الحالتين  تلك ظاهرة إيجابية  فهي تعني أننا نتطور ونتحسن  فلم أكن لأسعد لو شعرت أنني لا زلت أجد كتاباتي القديمة مألوفة  فقد تغيرت كثيرا حتى أصبحت لدي حشرية لمعرفة أسباب تلك التغيرات التي تطرأ على الشخصية  ومع أننا كثيرا ما نسمع عن التغيير بسبب الخبرة والعمر والمحيط  ولكن يوجد شيئ ما في تركيبة المخ يتغير  ,1,تسلية
فصل الشتاء  كيف تدفون   وتحمون أنفسكم  من البرد ,0,قد تكون طرقي غريبة أو مريبة لكن اعتقد أنه يمكن ذلك من خلال القيام بخبز بعض الكيك الساخن مع المشروبات واجتماع جميع أفراد العائلة للجلوس بجانب بعضهم البعض  وجود غطاء وإغلاق جميع النوافذ ووضع ستائر ثقيلة مع الكثير من السجاد ويمكن أيضا استخدام المدفأة الكهربائية لا اعتقد أنها تستهلك الكثير من الكهرباء هي صغيرة الحجم جدا ويجب أيضا التحرك اعلم أن الأمر صعب بالأخص بالشتاء ولكن التحرك يساعد على تحريك الدورة الدموية وبالتالي تدفئة الجسم ,1,تسلية
لو أعطيتك ممحاة الآن  ما الذي تود  محوه من  بلدك ,0,أعتقد أن وجود الصفة الغير مرغوبة يعرفنا بقيمة الصفات المرغوبة  ولابد من وجود الشيء ونقيضه كي يحدث التوازن  ولكن حينما يتغلب الغير مرغوب على المرغوب حينها لابد من محوه أو التغلب عليه وإرجاعه إلى نسبته البسيطة السابقة ,1,تسلية
ما هي الأشياء التي لا تستغني عنها أثناء الذهاب للعمل أو الجامعة ,0,في فترة ذهابي للجامعة وبعدها إلى العمل اعتمدت على بعض الأمور الأساسية في حقيبتي  مثل المفكرة والأقلام  المصحف  واقي الشمس  المرطب  وغيرهما من أدوات العناية الضرورية  كما كنت أحتفظ بورقة معطرة لأستنشقها كلما شعرت بالإرهاق أو الملل  بالإضافة إلى الباور بنك والحاسوب  ماذا عنك أخبرنا إذ ا بمقتنياتك للعمل أو الجامعة ,1,تسلية
إنسان  حيوان نبات جماد بلاد   حرف الهاء وحرف العين وحرف الصاد,1,ما زلت أمارسها لهذا الوقت   ,1,تسلية
لو اتيحت لك تذكرة مجانية  ما هي الدولة الوحيدة التي  ستسافر إليها قبل نهاية  عام 2022 ,0,في الفترة الحالية  ونظر ا للظروف السياسية المريبة بعض الشيء في العديد من دول العالم  أفض ل السفل لزيارة دولة منعزلة بعض الشيء عن مثل هذه الصراعات ,0,تسلية
ماتفكر به قد يفكر به الجميع وانت لاتعلم ,1,الميم حقيقي جد ا فعل ا  وقد أضيف إلى أن هذه المزحة  على الرغم من كونها مضحكة بالنسبة للكثيرين من ا  تمث ل الكثير من المشكلات الاجتماعية العميقة  أجد دائم ا أن مفهوم المنظور الواحد هو الذي يؤد ي إلى بزوغ المشكلات الاجتماعية والتناقضات المختلفة  كارثة أن أرى الأمور من زاوية واحدة  أو على الأقل أل ا أتقب ل اختلاف الآخرين معي  وأن أتوق ع أن الرأي السديد الوحيد هو رأيي الشخصي وبيئتي الشخصية وتنشئتي ومحيطي  كل ها مفاهيم يجب على المنظومة التعليمية أن تعتني بالتخل ص منها في أسرع وقت ,1,تسلية
انا عندما ك نت أقرأ رواية أرض زيكولا ورواية الفيل الأزرق,1,أنا مؤمن بكل تأكيد بتفاوت الأذواق  بالإضافة إلى أن كلا العملين ليسا من ضمن قائمة الأعمال أو الكتب التي أقرأها  والكاتبين ليسا من كت ابي المفضلين  لكنني أعترض دائم ا على النقد اللاذع في هذا الصدد ولا أفضله على الإطلاق  لأن الكتب أو الأعمال الأدبية في هذه الجالة تصبح غير خاضعة للتقييم على الإطلاق  ويصبح انعكاسها الأول هو قر اءها  وما دام القر اء معجبون  فالأمر لا يهم  والنقد لا يهم  والتعبير عن دونية أدبية أو سوء مستوى لا يهم أيض ا  فنحن بهذه الكيفية نشك ك في ذوق المتلق ي  وهو أمر أحب ذ أن أتركه بلا تقييم لفتح المجال لمختلف أشكال التغيير ,1,تسلية
ما هو أكبر خطأ فعلته أثناء تواجدك بالمطبخ ,1,حسن ا علي  التفكير أكثر   ,1,تسلية
ما هي الجملة أو الاقتباس الذي تتخذه شعار ا في حياتك ,0,في الآونة الأخيرة  وبعد ترس خ عاجة القراءة في يومي بشكل  اعتيادي    لم أعد أعتني صراح ة بفكرة أن يكون لي شعار ا حياتي  ا يتلخ ص في جملة واحدة فقط  لكن من جهة أخرى  فأنا أندهش دائم ا من المقدرة اللغوية لدى عدد لا نهائي من الكت اب  هذه القدرة على صياغة الحياة أو على الأقل منظور لا يفو ت منها  في جملة صغيرة أو اقتباس  لذلك قد أضع مجموعة من المقولات المفض لة لدي  في هذا الصدد  لا أعتبر أي  ا منها شعار ا في حياتي  لكنني أرد دها على الدوام من باب ممارسة الجمال الأدبي والفلسفي  إليك  بعضها ,1,تسلية
أيمكنك معرفة الشكل الصحيح في عشر ثوان ,0,الإجابة الصحيحة هي b  واستنتجت  الإجابة خلال 9 ثوان   الأمر يعتمد كما أشرت  من قبل يا أمنية على فكرة التعو د على مثل هذه الأحجيات  حيث أنها تدفعني من باب التعو د وبشكل  عفوي   إلى البحث عن الحل عن طريق المساعدة الخفية  لا عن طريق مقارنة الأشكال كلها وبعضها البعض  فأعتمد للاستنتاج على نمط معي ن من المربعات الصغيرة أبحث عنه  فقد بحثت  عن المربعات التي بها صف من المرب عات الصغيرة بالترتيب  أخضر   أحمر   أحمر  مما حصرني في احتمالين فقط  وقل ل عدد الثواني المستهلك في الحل ,1,تسلية
هل يمكنك معرفة الرقم الناقص في عشر ثوان ,0,الجواب هو 4,0,تسلية
كمبيوترك  سرعة الانترنت لديك   مهارتك,0,الصور فعلا رائعة ومعبرة ويمكنني أن أقول فيها,1,تسلية
