Question,Subj_Q,Answer,Subj_A,Domain
تحديثات على دورة PHP في أكاديمية حسوب   مارس 2023,0,السلام عليكم هل من كوبون لتخفيض السعر رجاءا,0,تطوير الويب
متى اعرف اني جاهز في جافا سكريبت,0,لتحديد ما إذا كنت مستعد ا للانتقال من JavaScript إلى مكتبة مثل React  يجب أن يكون لديك فهم قوي لأساسيات JavaScript  وأن تكون قد أنشأت بعض المشاريع  وأن تكون مرتاح ا مع HTML   CSS  وفهم DOM  ولديك الرغبة في التعلم كذلك ,0,تطوير الويب
الباكلينك لمدة هل يؤثر سلبا  بعد حذفه,0,هي ليس لها فائدة تذكر من حيث السيو وتصدر نتائج البحث  وفائدتها الوحيدة هي فقط من حيث ما تجلبه من زوار خلال فترة عملها لا غير  اما البالكليك الذي تفضله و تعمد عليه محركات البحث هو الرابط الدوفولو والدائم من مواقع مهمة  هذا كل شيء باختصار ,1,تطوير الويب
هل سيكون Bard أفضل من Chatgpt ,1,علمت عن البرنامج من مساهمة زميلنا عبدالوهاب       غوغل تريد دخول غمار منافسة الChatGPT    حسوب I O  io hsoub com go 142891 طلبت شركة غوغل من موظ فيها اختبار منافسي الchatGPT عبر تجربة روبوت الد ردشة المعروف ب Apprentice Bard     طلبت شركة غوغل من موظ فيها اختبار منافسي الchatGPT عبر تجربة روبوت الد ردشة المعروف ب Apprentice Bardومن خلال ما طرحته وما طرحه هو بمساهمته  أرى أنها ستتفوق بالتأكيد  فشركة جوجل ولأنها متربعة على الشركات ولديها أشهر وأكبر متصفح فلن تقبل أن يأتي أحد ويزيحها عن عرشا بسهولة  لذا كان من المتوقع أنها لن تقف مكتوفة الأيدي  ليأتي هذا البرنامج ويخرب لها سياسات محركات البحث  أو يتفوق عليها في أي ميزة  وأعتقد أن جوجل لن تقف هنا وسيكون لديها خطة تميزها عن أي برنامج ذكاء اصطناعي سواء بالمجانية كون اشتراك شات جي بي تي يكون 100 دولار  أو بميزات إضافية ,0,تطوير الويب
كيف اكون مطور وجهة امامية محترف ,1,أعتقد أن  هذه الن  قطة هي من أحد الن قاط التي يقوم بإهمالها  المتعل مون في هذا المجال  إذ يتوق فون مع أو ل عتبة  أمامهم لكونهم لا يعرفون شغفهم الأساسي من هذا التعل م  فهذا المجال يحتاج صبرا كبيرا  وليس بالأمر الهي ن  لكن البعض ينساقون وراء الت حفيز الل حظي وأن ه يمكنهم تحقيق دخل  خيالي في زرف قصير إن تعل موا البرمجة أو تطوير الويب في بضعة أي ام أو أسابيع لكن الواقع مغاير  تماما  لذلك تجدهم يتذم رون مبك را من الص عوبة التي يواجهونها أنصح من يريد تعل م هذا المجال أن يتحل ى بالص بر وأن يحب  ما يقوم به  وأن يستمر  في التعل م لكون هذا المجال في تطو ر مستمر وإن لم يلحق المرء بركبه فسوف يفوته القطار ويستغرق الأمر معه وقتا أطول  لذلك فالإستمرارية مهم ة هنا شيء آخر  في مسار التعل م علينا أن لا ن همل عامل الت طبيق مع التعل م فهو عامل أساسي في ترسيخ المعلومات ,1,تطوير الويب
تحديثات دورات أكاديمية حسوب   يناير 2023,0,من الرائع طبع ا أن ي حد ث المحتوى بهذه الآليات  فعلى الرغم من أنني حظيت  بأكثر من مر ة اطلاع على دورات أكاديمية حسوب في مختلف المجالات  تعد  هذه المر ة الأولى التي أعرف فيها أن التحديث يتم على الدورات الموجودة أصل ا على المنصة لكن فيما يخص هذه العبارة الأخيرة لو كنت  مشترك ا في دورة تطوير التطبيقات باستخدام لغة بايثون مثل ا  هل يعني ذلك أن هذه التحديثات ستعود علي  كمشترك على النظام القديم ,1,تطوير الويب
كيف ابدأ في مجال ui ux,0,مبدائيا  أعتقد ان الحاسوب شيء أساسي   حتى لو أردت أن تتحضر نظريا  لابد من التطبيق العملي  وبالنسبة لكيفية التعلم نترك المجال   AhmadRagab   لديه خبرة في هذا المجال يمكنه إطلاعك بشكل مفصل,1,تطوير الويب
مارأيكم في نطاق  xyz  ,1,الفكرة في النطاقات أنها ت ستخدم من أجل أغراض معينة   كل اسم نطاق له دلالة معينة كالآتي   ف com ليس فقط قديم الاستعمال وذو شعبية أكبر   إنما هو ي عطي مصداقية أكبر لدى الزائرين   ضع في حسبانك أنه في حالة اخترت دومين معين فستقوم باستخدامه لفترة طويلة ولن تستبدله   فهذا مهم من أجل ال SEO   يعني أن الدومين يكتسب ثقة معينة لدى خوارزميات جوجل  ,0,تطوير الويب
كيف يمكنني اضافة وسائل الدفع الإلكترونية المتاحة في مصر ,0,أرى أن ك في حاجة ماس ة إلى مطو ر للويب  حيث يكون مسؤول ا عن إضافة مختلف وسائل الدفع الإلكتروني المتاحة في مصر  بالإضافة إلى ذلك  يجب أن تكون مهامه منس قة مع أخص ائي التسويق الإلكتروني  لأن هذا الشخص يمتلك من المعلومات عن العملاء ما يساعد مطو ر الويب في إضافة بو ابات الدفع المفض لة والشائعة لدى عملائك المستهدفين  لهذا السبب يعد  الأمر تقني  ا بصورة بحتة  حيث أن ك في حاجة إلى استهداف بو ابات دفع بعينها  لا أي بو ابات متاحة ,0,تطوير الويب
آخر أعمالي في مجال تطوير قوالب الووردبريس العربية,0,شكرا  لك ويسعدني أنها أعجبتك,1,تطوير الويب
لدي الدومين خاصتي  فكيف اقوم بانشاء ايميل خاص به ,0,أنا اعرف موقعين يمكنهم مساعدتك في عمل أيميل خاص مجاني ولكن يجب أن يمكن لديك دومين و هما يمكنك إدارة مؤسستك بالكامل بفضل مجموعة Zoho من أدوات الإنتاجية عبر الإنترنت وتطبيقات SaaS  يثق بنا أكثر من 80 مليون مستخدم في جميع أنحاء العالم Email how it is supposed to be    Free  simple and secure   Manage multiple mail accounts in one place  from any device   Sign   ولكن أنصح بشراء هذه الخدمة لأن المجاني منها لايعطيك امكانيات جيدة ,0,تطوير الويب
ماهو مقتطف البحث الاجابة رقم صفر في قوقل,0,من الأمور الرائعة في محرك البحث جوجل هو بناء طرق مختلفة لجلب زيارات إلي الموقع الإلكتروني إبتداء من Back Links وحتي عامل المحتوي والجيست بوست وغيرها الكثير من الطرق الفعالة بهدف جلب زيارات إلي الموقع التي تستحق الوصول إليها  وها نحن مؤخرا  نشهد خاصية جديدة وهي المقتطفات وكونها وسيلة فعاله في زيادة ظهور الموقع والزيارات عليه فهي في كل الاحوال لن تضر الموقع إذا لم تنفعه ,0,تطوير الويب
هل أطور موقعي ليعمل على ويندوز أم لينكس ,0,أهم شيء بتوق ع هو مسألة مرونة الاستخدام  استضافة Linux    هذا النظام قابل للترقية بسهولة  ومن الممكن استخدام نفس البرمجيات على السيرفر لكل توزيعات لينكس تقريب ا  بمختلف إصداراتها  أيض ا هذا النظام لا يجعلك مقيد ا باستخدام نوع معين من سيرفرات الويب  أو البريد الإلكتروني أو الـ FTP أو غيرها من الخدمات الأساسية على السيرفر و أصبح يدعم العديد من واجهات المستخدم الرسومية كذلك   وهو ما يعني أنه أصبح سهل الاستخدام مقارنة بالسنوات السابقة    استضافة Windows    كمرونة استخدام Windows فهذا يفضل استخدامه أكثر للأشخاص المحترفين  فسوف تقوم باستخدام Windows Server و نظام Hyper v فعليك أن يكون لديك الخبرة قبل استخدامه ,0,تطوير الويب
ما الذي يميز ReactJs ويجعلها م فضله عند معظم المبرمجين ,0,في البداية كنت شغوفا بالعمل من خلال الجافا اسكربت نفسها وكان الأمر ممتع كثير لكنه يأخذ الكثير من الوقت والجهد المبذولين ثم بعد ذلك تعرفت على مكتبه أنجولر وهي من اطر العمل الجميلة وتتميز بقوتها وسهولتها ناهيك عن سرعة التنفيذ لما نريد فعله والعمل عليه وبطبيعة الحال فالمجال التقني في تطور دائما وهو ما يدعونا لنكون كذلك بتطوير طرق عملنا من اللغات والتقنيات التي نعمل بها  وبدء عملي الفعلي لإستخدام ريأكت وهي واحدة من الطرق الفعالة جدا في تطوير الويب وتفاعلها القوي مع مستندات HTML بشكل عام ,1,تطوير الويب
هل الروابط الخارجية مازلت مفيدة في ترتيب المواقع لدى محركات البحث ,0,للصراحة بعتقد أن  هذه الأمور يمكن تحديد طابع عام لها مثلا  بنسبة مئوية بالنسبة لأداء المواقع بشكل إحصائي ولكن الأضمن طبعا   ملاحظة التأثيرات الخاص ة بالموقع الشخصي أو ل بأول وبشكل شخص وفقط  لمعرفة ما تحقق فعلا  هذه الروابط  على مثلا      1     Majestic  2     ahrefs  3     MOZ open site explorer  4     Google console,0,تطوير الويب
