Question,Subj_Q,Answer,Subj_A,Domain
أي هما ترضى  الحياة مع العبودية أم الحري ة مع خطر فقدان الحياة ,1,هذا الكلام يخرج فقط من الأشخاص الذين يعتقدون أن  الحياة بطبيعتها وبانسجامها اليومي فيها جزء من العبودية  شيء يشعر به الإنسان العادي ويرضاه  نسمع كثيرا  عن عبودية العمل وعبودية الصداقة والعلاقات  عبودية شهوة الطعام والمال  عبوديات كثيرة ولكن أسأل الأن  هل فعلا  جر ب الإنسان الحديث العبودية فعلا   ه نا مثلا   يعتقد القارئ أن ه  يقرأ عن تنافس حقيقي بين الحياة والموت  بين الحرية والعبودية  ولكن أسأل  ما الذي كان يدور في عقول هؤلاء الأفارقة لحظتها  أنا أؤك د لك أن هم لم يكونوا في تفكير نهائيا  حول الموضوعات التي تطرحها حضرتك  لم يكن ميزان ما يقي مون به الأمور الموت والحياة والعبودية والحرية  بل ما هو أشد  إرعابا  وأشد  طلبا  بألف مر ة بالنسبة لهم  وهو الخوف والألم  إن هم يعرفون مخاوفهم على السفينة  لماذا يستبدلونها بالمجهول من المخاوف وبالأقسى منها  إن هم يعرفون الآلام على السفينة فلماذا يستبدلونها بالمزيد من الآلام المجهولة التي قد تكون مبر حة  هذا يزيح المعادلة طبعا   لتصبح ليس موضوعتها بالمر ة الكرامة أو الروح البشرية  بل مقدار ما تتحمل من الضغط النفسي والجسدي  وبهذا صد قني نحدد الموت بحري ة أو العيش بذل وعبودية  عبر انتخابنا الحر في أي  الطرفين أقل ألما  وخوفا  ,1,ثقافة
سبب مشاكل افريقيا هو الاستعمار ,1,يا صديقي أثر الاستعمار لن يزول لأن الاستعمار نفسه باقي عندما اجتمع الظلم والاستعباد والاضطهاد على الدول الافريقية وكلله الاستعمار بنهب للثروات ذلك ليس أمر هين للنجاة منه ببساطة  لأن الاستعمار لا ينهب ثروة فقط بل ما هو أسوا  ينهب وعي الدول الافريقية لا يمكن أن تكون الملامة لأنها لم تستطع النجاة لأنها بالفعل لم تعد كما كانت قبل كل تلك الكوارث  الأجيال التي نشأت في الاستعمار وفي ظل اضطهاد ونهب ليس من السهل عليها السيطرة على كل تلك الأفكار والنهوض بشكل سوي  لأنهم بالفعل فقدوا أكثر بكثير من قدرتهم على التماسك  افريقيا وصلت لمرحلة كانت فيها فقط ليبيريا هي الدولة الوحيدة المستقلة والباقي تحت الاستعمار المختلف دول تونس والجزائر مازالت لم تشفى بالكامل حتى الان  فكيف بمن ذاق أضعاف المعاناة ولا يزال ,1,ثقافة
ما بين الوفاء للعادات والتقاليد والوفاء للحبيبة المخطوبة  أيهما تؤيد ولماذا ,1,لا يمكن أن تدخل التقاليد أو الأمور التراثية في شيء إل ا وتحو ل الحياة إلى أمور جامدة صعبة لا معنى لا لجمودها ولا لصعوبتها  غالبا  ما يحكم في مسألة التقاليد كلام الناس وأقاويلهم وتوقعاتهم اليومي ة عنك  يجب أن تعيش كما يتوق عون أن تعيش  ويجب أن تفعل ما ي فعل دائما   ويعطونك جوائز كثيرة على تمث لك لهذه الأمور  فمثلا  لديك وسام الشرف والقو ة إذا قمت بالزواج لحماية بنت مثلا  من العوز المادي حتى ولو لم تكن لا تملك البائة النفسية والأخلاقية والقلبية للقيام بذلك  يعطونك رمز الشجاعة ورمز الرجولة في الكثير من التقاليد الأخرى  وسام الامتثال والانصياع والذكاء عند قولك نعم لكل ما يجب أن ي فك ر فيه  يخترعون عادة  دساتير للامتثال بها بدون تفكير  هذا ما ي دم ر مجتمعاتنا بأكملها  غياب حرية الفرد في اختياراته وتشب ثه بتراث أباء وأجداد لم ولن يغنوه من جوع أو يأم نوه من خوف  سيحمونه فقط من كلام الناس  الكلام الذي أنتج جورج وسوف عنه جملة أحب ها في أغنيته الشهيرة  كلام الناس لا بيقد م ولا يأخ ر  ,1,ثقافة
هل تعتقد أن النكد له علاقة بالمرأة فقط أم يوجد رجال نكديون أيضا ,1,بالنسبة لي ليست المرأة وحدها المسؤولة عن النكد  لكنها فقط تهمة الصقت بها من طرف مجتمع ينظر إلى المرأة نظرة دونية مختلفة عن نظرته للرجل  فالنكد أيضا يرتبط بالرجل  الذي يحاول أحيانا خلق نوعا من التوتر داخل بيته نتيجة مشاكل قد تكون  نفسية واجتماعية وحتى اقتصادية  فيضطر لتعنيف المرأة نفسيا بالكلام الجارح حتى يثير غضبها  فتضطر للرد عليه  فينعثها بالنكدية  النكد عند كل الأجناس والأعمار والفئات الإجتماعية  وفي كل زمان ومكان  لأنه لصيق بواقعنا الإجتماعي  السؤال المطروح لماذا تهمة النكد دائما لصيقة بالمرأة ,1,ثقافة
تحليل الشخصية عبر بصمات الإصبع  تحليل الشخصية عبر خط اليد   هل تؤمن بهذا ,0,أراها تحليلات منطقية جدا  فالظاهر له أساس في الباطن  كما ينعكس الباطن على الظاهر  وظاهر الجسم مرآة تنعكس عليها مكنونات النفس  وبدراسة أحوال الناس الظاهرة  يمكنك معرفة أخلاق الناس  وطبائعهم  وتحليل شخصياتهم  ومعرفة ماضيهم وحاضرهم  وحالتهم الصحية قرأت في بعض الدراسات العلمية أن 55  من انطباعات الناس عن الفرد ت ؤخذ من حركاته ووضعه  و 39  منها تؤخذ من نبرة صوته  بينما 1  فقط من كلامه  معنى هذا الكلام أن 83  من الانطباعات المأخوذة عنا كأفراد لا تأتي من كلامنا  ولكن من حركاتنا وإيماءاتنا   أي  لغة الجسد  وهي لغة ليست كسائر اللغات لا تعرف الكذب  لكنها مرآة صافية تعكس مباشرة المشاعر  والأسرار ,1,ثقافة
لماذا ي نصح بالخروج من القرى والعيش في المدن ,0,على الرغم من أن الكثير من الأشخاص يعترض على وجهة نظري هذه  فأنا ما زلت  مصر  ا على أن  الإنسان المعاصر مهي أ لحياة المدينة أكثر من جاهزي ته لحياة الريف  حيث أن التطو ر التكنولوجي يحكم بأحكامه في هذه النقطة تحديد ا  وهو ما يفرض على الجميع أن يتعامل مع الأمر بالأسلوب الذي يتناسب مع شكل الحياة  على هذا الأساس  لا أجد أن إمكاني ة العيش في القري ة ستكون بالتكلفة النفسي ة نفسها  وإنما ستكب دنا عناء الخروج من عباءة التطو ر التقني الخاص بالمدينة  والتي شئنا أم أبينا  لا يمكنها أن توازي القرية مهما انتشرت فيها التقني ات  هذا بالإضافة طبع ا إلى البيئة المحدودة على صعيد العلاقات  وهو الأمر الذي يتنافى بدوره مع طبيعة الإنسان المعاصر أيض ا ,1,ثقافة
ماذا لو كان الوقت سلعة ت باع وت شترى ,0,أعتقد أن الوضع هو نفسه لن يتغيرالوقت سيكون بديل للمال  سيتقاتل الناس عليه كما يتقاتلون على الأموال في الوقت الحالي والفئة الرأسمالية ستسعى للسيطرة عليه بمفردها كما كان الوضع في الفيلم وكما هو الوضع في حياتنا الآن الفارق الوحيد ربما أن الانسان يمكنه العيش بدون أموال  لفترة  ولكنها ليست حياة يمكن احتمالها أما في حالة الوقت فلن يستطيع العيش لحظة فور انتهاءه وكان ذلك سيجعل من العالم فوضى لفئة واحدة بعينها حرية الاستفاده من هذه الفوضى ,1,ثقافة
لماذا ينبغي عليك أن ترسم  حتى وإن لم تكن ليوناردو دافنشي ,0,أعتقد أن الأمر مرتبط بالتصور والتعبير يا محمد والرسم ما هو الا طريقة للتعبير  فلو استبدلنا الرسم بالكتابة مثل ا فالكاتب ينظر للعالم ويرسم من خلال كلماته لوحات تعبر عما رآه أعتقد أن التعبير بأشكاله مهم سواء كان رسم أو كتابة أو حتى تصوير تختلف طرق التعبير ولكن أهميتها واحدة ويمكن اعتبارهم رسم ولكن بفرشاة مختلفة,1,ثقافة
الوصايا الخمس لما تشوف اهل معاهم طفل من ذوى القدرات الخاصه    ,0,أتوقع أهم نقطة الشعور بالشفقة مؤذي حتى أكتر من ألم الاصابة باي شيءوالتعامل من النوع ده بيكون مضر حتى بالطفل ,1,ثقافة
فن قول  لا  كيف تحافظ على موقفك وترفض الإذعان لمطالب الآخرين  ,0,قبل مراحل أكثر نضوج ا  كنت  واثق ا في خياراتي على صعيد العلاقات  ولم أمتلك القدرة على تمييز الصداقات التي تدم ر قدراتنا على التطو ر من الصداقات التي تساعدنا على تحسين نماذج شخصي اتنا  من هنا  استطعت  بعدها أن أضع نفسي في المكان المناسب لإطلاق الأحكام  من هنا  أردت  استخدام المزيد من التقني ات لتنقي ة هذه الصداقات التي تلزمنا بالتعامل وفق أسلوب معي ن من أجل الحفاظ عليها  حتى وإن كان هذا الأسلوب سبب ا في خروجنا عن مسار الالتزام بجدولنا الخاص  اكتشفت  وقتها أن الصداقات المؤذية والسام ة تمث ل إحدى أبرز المشكلات التي قد تواجه الإنسان  وتمنعه من ثقافة الرفض ,1,ثقافة
