Question,Subj_Q,Answer,Subj_A,Domain
الضريبة على الهواء  كيف يمكن للمستهلك أن يحد من استهلاكه للهواء ,0,أعتقد أنه في بعض الدول التي تكون المخدرات بها قانونية يقومون بفرض ضرائب عليها  مما يزيد من سعرها ويقلل الطلب عليها وهذا أعتبره من أنواع الضريبة العادلة  ,1,ريادة الأعمال
تصميم كتي ب لمشروعنا   متى تصبح هذه الخطوة مهم ة وعلى من نعتمد ,0,يمكن للإنسان تصميم كتيب يحتوي على ملف تعريفي للشركة متى احتاج لذلك ويقوم بتحديثه كل مرة استجدت فيها الأمور  ليس بالضرورة أن ينتظر إلى أن تتطور شركته  كما أنه من الضروري أن يكون الكتيب مطبوع بشكل ورقي كي يقدمه في الملتقيات التي تهمه  لا أحد سيكلف نفسه عناء الدخول لموقع الشركة للبحث عن تعريفها  لكن إن قدمت له كتيبا في يده سيطلع عليه مباشرة  عندما أحضر الملتقيات أقوم بتجميع الكتيبات لعلني أجد ما يفيدني في شركة من الشركات كصاحب مشروع مبتدئ ,1,ريادة الأعمال
كيف يمكننا التخلص من فجوة الأداء داخل بيئة العمل ,0,هذه مشكلات إدارة فقط برأيي  من المستحيل أن تكون هذه مشكلة فريق بأكمله  أسمع يوميا  وخاصة في الشركات المصرية هذا المصطلح  يجب أن نحقق ال target  أو لم نستطع أبدا  الفترة الماضية تحقيق الـ target   هذا الأمر للصراحة اقل ما يقال عنه أن ه  غريب  ليس وضع الأهداف هو الأمر الغريب بقدر الإدارة التي تطالب من الفريق لحاق target معي ن وهي لا تعرف مسبقا  إن كانوا على قدرة في تحقيقه أو لا  هذه المشاهد التي نراها في الشركات عادة  هي ضعف إداري بحت  لا يمكن أن يكون الأمر على عاتق الفريق نهائيا   تقول لي ولكن هذا الكلام قد يعني أن  تقاعس الفريق أمر غير مؤثر بهذا الهدف  أليس كذلك  أقول لك أن  روح وجوهر الإدارة بكل تأكيد هي ليست وضع الأهداف  يستطيع أيا  كان من ا أن يضع أهدافا  لأي شركة في العالم بمجر د دراسة ملفاتها  لكن المسألة أبعد من ذلك  الضعف الإداري الذي أقصده والذي يسبب هذا النوع من الفجوات هو كالتالي مثلا  ,1,ريادة الأعمال
ما هي العوامل الموئرة لنجاح المشاريع الناشئة ,0,الدرس الذي تعلمته من حسوب خلال اليومين الماضيين بخصوص استدامة نجاح الشركات هو تطبيق سياسات إدارة الأعمال  على مالك المشروع والمطور توفير إدارة متكاملة تهتم بمتابعة سير العمل وتصيغ الخطط الاستراتيجية والتشغيلية وتتأكد من تطبيقها ومطابقتها للأهداف المرجوة من إنشاء المؤسسات من البداية  كما تهتم باستقطاب الكفاءات البشرية وإدارتها واستثمارها ,0,ريادة الأعمال
لماذا عندما يدعو وارن بافيت شخص ا لتناول الغداء فإنه يجعله يدفع ثمن وجبته الخاصة ,0,أول ما خطر ببالي لماذا أغلب الأغنياء بخلاء هذا الغداء كان واجب ا من باب كرم الضيافة  لو محل الطالب بطبع سأحاسب عن نفسي  وأجد نبل بتعامل بفكرة إرسال الرسالة مسبق ا كرسالة تحذيرية  لكنه تصرف غير مبرر ولا أجده لائق ا  ولفت نظري لماذا سيجمع المال طالما لا ينوى التصرف بنبل مع من هم دونه  أعتقد فكرة الدين الإسلام هي أكثر إنصاف ا  في فكرة المال والغني والفقير ,1,ريادة الأعمال
لا يمكن ان يتساوى الرجل والمرأة في مجال الأعمال,0,أرفض فكرة الإغواء والتركيز على الميكياج وكيفية اللباس وطريقة الكلام وما إلى ذلك من أمور ت عد إهانة للرجل قبل أن تكون للمرأة  من الأفضل أن ننزع تلك من الحسبة لأنها غير واقعية بالمرة  وإذا كانت المرأة تؤثر على تركيز الرجل في العمل  فالرجل أيض ا يؤثر على المرأة داخل العمل  بفرض أن هذه النظرية صحيحة  أما فيما يتعلق بالناحية البدنية فالكلام نسبي ا صحيح  المرأة شئنا أم أبينا أوهن من الرجل  وقد لا تصلح للقيام ببعض الأعمال  أنا ممن يرفضون مبدأ المساواة بين الرجل والمرأة  ولا أعلم لماذا هذا الصخب الحادث في هذه الدعوات منذ سنين  الرجل سيظل رجل ا والمرأة هي المرأة  لماذا تسعى المرأة إلى التنكر من هويتها وأدوراها في الحياة  يكفينا كنساء رفض المغالاة غير المنطقية الحادثة في الأمر  مثل هذه النظرية التي تقول بأن المرأة تشتت تفكير الرجل اثناء العمل  إن كانت تشتت تفكيره فليشغل تفكيره بأمور أهم لا أن نجعلها تجلس في بيتها تؤدي الأعمال المنزلية وهي قادرة على تأدية أكثر من مجرد ذلك ,1,ريادة الأعمال
متى نستخدم الاستهداف الواسع في الاعلان ,0,بالطبع على رأس هذه الإيجابي ات أن نا نعرض العلامة التجارية على أكبر قدر ممكن من العملاء  لكن في المقابل  يجب أن تتوافر مجموعة من الشروط  غياب أي منها يعني ارتفاع بدون داع  في تكلفة حملة التسويق الإلكتروني  مم ا يعني تراجع ا كبير ا يؤثر على أداء المشروع  من أهم هذه الشروط ,0,ريادة الأعمال
عندما يكون تخص صنا المهني سبب ا في فشل مشروعنا,1,هنا أخي علي مشكل التشتت هو نتيجة لعدم الإلتزام ب ال Management الخاص بالمشروع وال Process المتبع لو كان هنالك رزنامة مضبوطة عن مسؤولية كل شخص يمكن حل هذا التشتت  فرائد الأعمال حتما لديه وظائف ونشاطات معينة من المفترض أن يقوم بها بالنسبة لعامل الخبرة الذي يفتقده المبتدئ أتفق معك في ذلك وأرى بأن الحرص على تقديم تربصات ميدانية لهاته الفئة وأنولا توكل لهم مسؤوليات كبيرة في بادئ عملهم ويتم التدرج وفقا لإمكانياتهم عزل التخصص التقني أراها فكرة غير سديدة أحبذ أن نستفيد من هذا التخصص في شتى المجالات لكونه متداخلا فيها ,1,ريادة الأعمال
كيف يمكن تحديد الأجر الأفضل للعامل ,0,بالطبع أتفق معك  فيجب تحديد الأجر بناءا  على الكفاءة و الأقدمية   وهذه نقطة مهمة فيما أرى    فمما عبناه على إدارة مدرسة كنت في الماضي أعمل فيها أن الإدارة قامت بزيادة مرتبات بعض المعلمين الجدد بحجة أن الأوضاع الأقتصادية أصبحت صعبة فتساوى حينذاك أصحاب اللياقات و الكفاءات القدماء بالمعلمين الجدد مما لهم خبرة قليلة و ليس قدماء في العمل ولم يتحملوا مشاكل التدريس كما تحملنا نحن أصحاب الفترة الطويلة  ولذلك يحنها غضب بعض الزملاء وعد و ذلك ظلما  فقلت حينها  أتغضبون لأن زملائكم من حديثي العهد قد أصبحوا مثلنا  هل تريدون منهم أن ينزلوا عنا في الأجر  قالوا أن المشكلة ليس في ذلك ولكن يجب على الإدارة أن تزيد من رواتبنا بنفس النسبة وهذا عدل  رأيت حينها أنهم على صواب ,1,ريادة الأعمال
البطالة  أحد الحلول لمشكلة التضحم ,0,قد يكون حلا ولكنه ليس حلا فعالا يمكن الاعتماد عليه فالبطالة من العوامل التي تؤثر في الطلب والعرض  فإذا كانت البطالة مرتفعة فهذا سيؤدي لانخفاض الطلب على السلع والخدمات فيتراجع الانفاق الاستهلاكي وفي النهاية قد يحدث تراجع في الأسعار ويسمى بالتضخم الطلبي ولكن قد يحدث في بعض الأحيان أن تؤدي البطالة العالية لرفع الأجور وهذا يزيد من تكاليف الإنتاج والأسعار فيزيد من التضخم بدل من حلها وأكثر الطرق فاعلية هي التوازن بين العرض والطلب,0,ريادة الأعمال
