Question,Subj_Q,Answer,Subj_A
يقال إن دول البريكس  البرازيل وروسيا والهند والصين وجنوب أفريقيا  تستكشف إنشاء عملة مشتركة للتجارة فيما بينها  فهل عملة البريكس الموحدة قريبة ,0,يقال إن دول البريكس  البرازيل وروسيا والهند والصين وجنوب أفريقيا  تستكشف إنشاء عملة مشتركة للتجارة فيما بينها  يمكن الإعلان عن ترتيب مالي جديد  ي نظر إليه مع إمكانية ترجمته إلى عملة مشتركة للبريكس  في آب أغسطس 2023 خلال قمة البريكس المقبلة في جنوب أفريقيا وفقا  لتقارير نقلا  عن النائب الروسي ألكسندر باباكوف  فإن دول البريكس بصدد إنشاء وسيلة جديدة للمدفوعات تم إنشاؤها على أساس استراتيجية  وبحسب ما ورد أشار إلى أن العملة الجديدة سيتم  تأمينها بالذهب وسلع أخرى مثل العناصر الأرضية النادرة كانت هيمنة الدولارات بسبب قيام أمريكا بوضع شروط العالم بعد الحرب العالمية الثانية  لتغيير هذا من المحتمل أن تكون هناك حاجة لحدث كارثي إذا توقفت أمريكا عن كونها قوة عالمية وتحدد القوة الجديدة شروط العالم ,0
سؤال للمسلمين  هل تري ان الاسلام كان من المفترض ان يكون افضل من ذلك او ان لا يحتوي علي ايات عنف حتي لا تثير شبهات غير المسلمين ,1,أفضل من ماذا عليك تعريف مقياس الأفضلية أولا و إثبات أنه حقيقة مطلقة و إلا فليس على المسلمين الاعتراف به ,1
في كتاب مفتاح العهد الجديد للبابا تواضروس صفحة ١٦٧ يقول ان مقدمة يوحنا اضافة علي النص الاصلي  هل هذا فعلا حقيقي ولماذا يتجاهل المسيحيون الكلام عن تحريف الانجيل ,1,لأم هذا البابا ما زال حي يعني مجرد كاهن ينتقد أو يقول كلام من دون أساس على كلامه,1
لماذا الصليبيون كانوا متوحشين للغاية بينما هم مسيحيون والمسيحية ديانة محبة    ما العلم انني احترم المسيحيون  ,1,النصرانية اكثر ديانة سفكت دماء اهل الأرض وهذا من الاحصاء في التاريخ   اول من عانى منها هم الوثنيين بعد تحول روما من الوثنية الى نصرانية   وبداء مشوار إبادة الاخرين   في إسبانيا والامريكتين المسلمين والشعوب الاصلية  المجرم هنا كاثوليك   او بروستانت في شمال امريكاء واستراليا المحيط الهادئ من شعوب الاصلية   اذردوكس تم اتركاب طرد وقتل المسلمين في البلقان واليونان وحوض البحر المتوسط وشرق الاناضول ومحيط البحر الأسود   وهذا بكل الطوائف   يتم إبادة الاخريين بطريقة متوحشة وعلى فكرة البابا كان متؤاطى في جريمة المحرقة النازية التى شملت اصناف من البشر   وكذلك لان ترى اذردوكسي واحد في اسبانيا او بروستانتي النصرانية اكثر ديانة سفكت دماء اهل الأرض وهذا من الاحصاء في التاريخ   اول من عانى منها هم الوثنيين بعد تحول روما من الوثنية الى نصرانية   وبداء مشوار إبادة الاخرين   في إسبانيا والامريكتين المسلمين والشعوب الاصلية  المجرم هنا كاثوليك   او بروستانت في شمال امريكاء واستراليا المحيط الهادئ من شعوب الاصلية   اذردوكس تم اتركاب طرد وقتل المسلمين في البلقان واليونان وحوض البحر المتوسط وشرق الاناضول ومحيط البحر الأسود   وهذا بكل الطوائف   يتم إبادة الاخريين بطريقة متوحشة وعلى فكرة البابا كان متؤاطى في جريمة المحرقة النازية التى شملت اصناف من البشر   وكذلك لان ترى اذردوكسي واحد في اسبانيا او بروستانتي قبل 100 سنة   او تجد انجلي في روسيا القيصرية   وفيس على ذلك فالمحبة والكلام سامج المصاحبة لها الا كلام بلا أفعال انظر التاريخ ستجد شعوب اختفت من الأرض قهارا  والسبب بسيط تعاليم الكتاب المقدس المخرضة على الابادة  ثانيا في نصرانية اعمل ما شاءت طالما ٱمنت بيسوع فسوف تدخل المالكوت ولو قتلت كل الأرض وقهرتهم ,1
ماذا لو كان الاسلام هو الدين الحق فعلا علي الرغم من الانتقاد التي تدور حوله ,1,ومن قآل لك ان الإسلام ليس دين الحق هذه وجهة نظرك فقط يبقى ويبقى ويبقى الى انقطاع النفس الدين الإسلامي هو الدين الحق إلى قيام الساعه,1
بالنسبة للنصاري هل توافقونني الرأي عندما اقول ان القرأن اقل الكتب خطأ وتحريفا  ,1,يعني يا عمر ارجو ان تتقبل اجابتي بصدر رحب أولا   ثانيا   ثالثا  رابعا  خامسا  يعني يا عمر ارجو ان تتقبل اجابتي بصدر رحب أولا   ثانيا   ثالثا  رابعا  خامسا  سادسا   و قبل أن اختم  سأطلب منك طلب اتمنى ان تحققه لي   اوصل رسالة مني لمن طلب منك أن ترسل لي طلب إجابة  قل له اني اعتبره انسان في أحسن احواله سخيف و جاهل تحياتي  ,1
ما رأيكم بسياسة السعودية في المنطقة وأسباب فشلها وتخليها عن حلفائها وتركهم في منتصف الطريق  ,0,الكيان السعودي منذ نشأته وهو أداة لمحاربة الإسلام وخدمة الدولة المتربط معها كانت بريطانيا المؤسسة له ورعته حتى أواخر القرن الماضي  مع تقلبات قليلة حسب تعبية الملك  من خالد إلى فهد فعبد الله واستقر الأمر لأمريكا منذ استلام سلمان وابنه,1
هل الصين ممكن تقدر تساعد روسيا في أنه تكسب حرب روسيا أو على الأقل لحد ما يحصل تفاوض ,0,السلام عليكم ورحمة الله وبركاتهأشكرك على السؤالبسم الله الرحمن الرحيم  والحمد لله رب العالمين  وصلى الله وسلم وبارك على عبده ورسوله محمد  وعلى آل محمد وصحبه وأم ته لو أرادت نعم كان بإمكان الصين أن تنهي مشكلة تايوان  وهذه أهم من روسيا  وذلك مع انشغال واستنزاف الغرب في أوكرانيا    ولكنها لم تفعل  تحياتي الطيبة  السلام عليكم ورحمة الله وبركاته,0
ما حقيقة التوافق السعودي الإيراني بالرعاية الصينية  وما حقيقة موقف ومصالح الصين وأمريكا وكيان يهود من ذلك ,0,لكي يتضح الجواب على التساؤلات أعلاه نستعرض الأمور التالية 1  نشرت وكالة الأنباء السعودبة  واس  يوم 10 3 2023 البيان المشترك الذي تم التوصل إليه بين السعودية وإيران فذكرت أن  2  وعليه فقد جاء في البيان المشترك أيضا3  أما لماذا حدث ذلك فيبدو أن أمريكا عن طريق المخادعة قد أعطت الدور للصين لإتمام المصالحة والإعلان عن الاتفاق بعدما نضجت المحادثات في بغداد ومسقط للأسباب التالية 4  أما لماذا كيان يهود منزعج من الاتفاق5  أما أمريكا فقد رحبت بالاتفاق 6  وهكذا تتكشف دول المنطقة وتتعرى بسيرها ضمن السياسات المرسومة لها من قبل أمريكا التي تمسك بزمام الأمور فيها  فمتى طلبت من الموالين لها سواء التابعين أو الذين يسيرون في فلكها أن يتفاهموا ويحلوا الإشكاليات بينهم فإنهم يقومون بتنفيذها بالتمهيد لذلك بإجراء مفاوضات  وإذا طلبوا منهم عكس ذلك بالتنافر أو العدوان فعلوا وصنعوا له أسبابه  ولولا ذلك لما تمكنت أمريكا من أن تفعل شيئا في المنطقة  فطريق التخلص منها يأتي عن طريق إسقاط هذه الأنظمة  ومن ثم العمل على إقامة نظام يرضي الله ورسوله والمؤمنين  والذي يوحد المسلمين في دولة واحدة  ألا وهو نظام الخلافة على منهاج النبوة التي وعد الله سبحانه بها  العاشر من رمضان 1444هـ1 4 2023م,0
لماذا غير المسلمين يربطون داعش بالإسلام بينما امريكا هي من أسست داعش لإثارة الفوضي في الشرق الأوسط وذلك لما قاله عميل الاستخبارات الهارب من امريكا ادوارد سنودن ,0,أشكرك عمر علي طلب الإجابة   يعني بهذا المنطق كل الدول العربية ليس لها علاقة بالإسلام لان كل دولنا العربية قسمتها و رعت انظمتها بل و عينت حكامها بريطانيا و من بعدها أمريكا داعش هي بالتعريف  الدولة هي حركة تسمى نفسها إسلامية  الا يكفي هذا   اما لو سألتني  لم يعتبر الغرب ان داعش تمثل الإسلام لكان السؤال منطقي و الإجابة  لان الغرب ليس مضطرا  او مجبرا  لان يفهم الفرق بين الممارسات الصحيحة للاسلام و بين الشكل المشوه لداعش  توضيح هذا الفرق هو مسؤوليتنا نحن و نحن للأسف لم نقدم نموذج س وي يوضح للغرب ان داعش لا تمثل الإسلام و لا تمثل الشعوأشكرك عمر علي طلب الإجابة   يعني بهذا المنطق كل الدول العربية ليس لها علاقة بالإسلام لان كل دولنا العربية قسمتها و رعت انظمتها بل و عينت حكامها بريطانيا و من بعدها أمريكا داعش هي بالتعريف  الدولة هي حركة تسمى نفسها إسلامية  الا يكفي هذا   اما لو سألتني  لم يعتبر الغرب ان داعش تمثل الإسلام لكان السؤال منطقي و الإجابة  لان الغرب ليس مضطرا  او مجبرا  لان يفهم الفرق بين الممارسات الصحيحة للاسلام و بين الشكل المشوه لداعش  توضيح هذا الفرق هو مسؤوليتنا نحن و نحن للأسف لم نقدم نموذج س وي يوضح للغرب ان داعش لا تمثل الإسلام و لا تمثل الشعوب الإسلامية تحياتي ,1
لماذا المسيحييون يقولون ان الاسلام انتشر بالسيف علي الرغم ان التاريخ المسيحي ملئ بالدموية وايضا ظهر الاستعمار الاوروبي الي الامريكتين وقام بإبادة الهنود الحمر حيث كان من ضمن دوافع ذلك هو نشر المسيحية في الامريكتين و العديد من المؤرخين أقروا بذلك ,1,السلام عليكم ورحمة الله وبركاتهأشكرك على السؤالبسم الله الرحمن الرحيم  والحمد لله رب العالمين  وصلى الله وسلم وبارك على عبده ورسوله محمد  وعلى آل محمد وصحبه وأم ته السلام عليكم ورحمة الله وبركاتهأشكرك على السؤالبسم الله الرحمن الرحيم  والحمد لله رب العالمين  وصلى الله وسلم وبارك على عبده ورسوله محمد  وعلى آل محمد وصحبه وأم ته تحياتي الطيبة  السلام عليكم ورحمة الله وبركاته,0
هل ذم الإسلام أصحاب البشرة السوداء حين ذكر الله في القرآن   ي و م  ت ب ي ض   و ج وه  و ت س و د   و ج وه    ف أ م  ا ٱل  ذ ين  ٱس و د  ت  و ج وه ه م  أ ك ف ر ت م ب ع د  إ يم  ن ك م  ف ذ وق وا  ٱل ع ذ اب  ب م ا ك نت م  ت ك ف ر ون      ,1,السياق في الآية  والتأصيل الشرعي وعقيدة الإسلام كل ذلك يدحض هذا الفهم ولا يسمح به أصلا    ,1
هل إنتشار الإلحاد في العالم العربي جاء بسبب العناد نتيجة الظروف الصعبة للفرد والمجتمع  أم ناتج عدم القناعة بما يطرحه دعاة الإسلام و باقي الديانات  أيهما ت ر ج ح ,1,الالحاد والردة والكفر بالثوابت جاءت من الهزائم المرة التي منيت بها الأمة العربية الكبيرة   اسباب الهزائم العربية جاءت بالدرجة الأولى من الجهل وقلة الوعي القومي وتفشي أذناب الغرب وابناؤه غير الشرعيين فينا   ان انظمة الحكم في الواقع ليست الا عصابات لصوص ونصابين الصورة مضطربة عند اجيال الشباب مهضوم الحقوق الذين تملكها الياس من التغيير فتحول الاحباط المزمن إلى كفر بكل القيم الموروثة والمقدسة  ,1
ما رأيكم بحزب الله   وهل ينسف تدخله في سوريا ما قدمه من شهداء وبطولات في حربه مع الصهاينة  ,0,تقصد إذا أدركت الحقيقة السياسية للنظام الإيراني تدرك حقيقة حزبها في لبنان وتدرك حقيقة كل مواقفه بما في ذلك تجاه كيان يهود وتجاه النظام في سوريا ,0
ماذا لو امتلكت مصر سلاح نووى وأصبحت قوه عظمى  ,0,أرجو ذلك  مع يقيني أنه لن يكون أحسن حال من سلاح الباكستان وكل القوى العسكرية في كل البلاد الإسلامية لكن رجائي متعلق بما ستؤول إليه تلك القدرات بعد زوال هذه الأنظمة ,1
هل الوعي السياسي يعني التمدد والاحتلالات الفتوحات    ,1,السلام عليكم ورحمة الله وبركاتهأشكرك على السؤالبسم الله الرحمن الرحيم  والحمد لله رب العالمين  وصلى الله وسلم وبارك على عبده ورسوله محمد  وعلى آل محمد وصحبه وأم ته من الوعي السياسيوأبشرك أن دولة الخلافة على منهاج النبوة ستعود قريبا إن شاء الله لتواصل سيرة دولة الإسلام الأولى التي أسسها سيدنا عبد الله ورسوله محمد ﷺ فتتحرر الأمة مما بقي من الاستعمار  وتحرر بقية شعوب العالم من عبادة أصحاب الدولار إلى عبادة رب العباد  ومن جور الرأسمالية وسراب وضنك عيشها  إلى عدل الإسلام وسعة الدنيا والآخرة وهذ بعض المساهمات على الهامش للمزيدتحياتي الطيبة  السلام عليكم ورحمة الله وبركاته,0
اليس من المنطقي لو كان صدام حسين يملك اسلحة نووية يكون هذا رادع للولايات المتحدة او اي دولة اخرى للهجوم على العراق  اليس سبب غزو الامريكان للعراق غير مقنع ,1,لقد انكشف يقينا أن ادعاء امتلاك العراق أسلحة كان كذبا   ,1
كيف الوضع الأمني في السودان ,0,سودان تربيون 12 آذار مارس 2023  تحدثت مصادر شرطية عن هجوم قوة من  تمازج  على قسم الخرطوم شمال وإطلاقها سراح عدد من منسوبيها بالقوة بعد توقيفهم بسبب عدة مخالفات جنائية وحوصر مقر الشرطة بعدد من السيارات التابعة لحركة  تمازج  كما أطلق المسلحون أعيرة نارية في الهواء وأخذوا المتهمين وتحركوا لفرعية سرقة السيارات لأخذ 5 متهمين آخرين لكن سيارات الشرطة حاصرت المكان كما انتشرت أعداد كبيرة من قوات الشرطة في محيط حديقة القرشي بالخرطوم 3 لتأمين المقر   في هذا الخبر جواب على السؤال فهذه الحادثة ليست في إقليم من أقاليم البلاد البعيدة عن المركز أو في مناطق النزاعات والصراعات مثل إقليمي دارفور وكردفان  إنما في قلب العاصمة الخرطوم وأحد أشهر أقسام شرطتها  القسم الشمالي   فهي تعبر عن الحالة التي وصل إليها الوضع الأمني في بلد يعاني من غياب السلطة المنوط بها تنفيذ القوانين وردع المتفلتين الذين يهددون أمن الناس  فهذه الحادثة هي من نتاج اتفاق جوبا المشؤوم الذي أفرز هذه الحركات المسلحة التي توجد داخل المدن بقواتها وأسلحتها تفعل ما تشاء دون حسيب أو رقيب  والمشكلة ليست في الشرطة  فالشرطة هي جهاز إنفاذ القانون  فأين القانون الرادع  والقانون ليس مجرد قسم شرطة وحراسات وأوامر قبض  بل هي جزء من نظام متكامل كما هو في الإسلام ودائرة الأمن الداخلي في دولة الخلافة  هي الدائرة التي تتول ى إدارة كل ما له مساس بالأمن  وتتول ى حفظ الأمن في البلاد بواسطة الشرطة  فهي الوسيلة الرئيسية لحفظ الأمن  فلها أن تستخدم الشرطة في كل وقت تريد  وكما تريد  وأمرها نافذ فورا   وأما إذا دعتها الحاجة إلى الاستعانة بالجيش  فإن عليها أن ترفع الأمر للخليفة  وله أن يأمر الجيش بإعانة دائرة الأمن الداخلي  أو بإمدادها بقوات عسكرية لمساعدتها في حفظ الأمن  أو أي أمر يراه  وله أن يرفض طلبها  ويأمرها بالاكتفاء بالشرطة والشرطة قسمان  شرطة الجيش  وهي فرقة من الجيش لها علامة تتقدم الجيش لضبط أموره  فهي جزء من الجيش تتبع أمير الجهاد  أي تتبع دائرة الحربية  والشرطة التي بين يدي الحكام فهي تتبع دائرة الأمن الداخلي  فقد روى البخاري عن أنس  أن قيس بن سعد كان يكون بين يدي النبي ﷺ  بمنزلة صاحب الش  رطة من الأمير  والمراد هنا قيس بن سعد بن عبادة الأنصاري الخزرجي  وقد رواه الترمذي بلفظ   كان قيس بن سعد من النبي ﷺ  بمنزلة صاحب الشرطة من الأمير  قال الأنصاري يعني ما يلي من أموره   وتتولى دائرة الأمن الداخلي إدارة كل ما له مساس بالأمن  ومنع كل ما يهدد الأمن الداخلي  وتحفظ الأمن في البلاد بواسطة الشرطة ولا تلجأ إلى الجيش إلا بأمر من الخليفة  كما جاء في المادة 70 من مشروع دستور دولة الخلافة الذي أعده حزب التحرير وكذلك تتولى الأعمال التي يمكن أن تؤدي إلى تهديد الأمن الداخلي  مثل الردة عن الإسلام  والبغي أي الخروج على الدولة  إما بأعمال الهدم والتخريب  كالإضرابات  والاحتلالات للمراكز الحيوية في الدولة والاعتصام فيها  مع التعد ي على ممتلكات الأفراد  أو ممتلكات الملكية العامة  أو ممتلكات الدولة  وإما بالخروج على الدولة بالسلاح لمحاربتها  ويعهد إلى الشرطة بحفظ النظام  والإشراف على الأمن الداخلي  والقيام بجميع النواحي التنفيذية  لحديث أنس المار في جعل النبي ﷺ  قيس  بن سعد بين يديه بمنزلة صاحب الش رط ة  فإنه يدل على أن الش رط ة يكونون بين ي د ي  الحكام  ومعنى كونهم بين يديهم هو قيامهم بما يحتاجه الحكام من قوة التنفيذ  لتنفيذ الشرع  وحفظ النظام  وصيانة الأمن  وتقوم كذلك بالعسس  وهو الطواف بالليل  لتتبع اللصوص  وطلب أهل الفساد  ومن ي خشى شره م ولن يعود الأمن والاستقرار بين الناس ما لم نعد إلى ديننا  فإذا امتثل الناس لشرع الله  وطبقوا أحكامه  وأقاموا دولته دولة الخلافة  ضمنوا الأمن التام في أموالهم وأعراضهم ودمائهم  قال تعالى   كتبه مجدي صالحين  السودان,0
تمتاز المواقف الأمريكية تجاه روسيا بالاستفزاز  فكيف ترى ردود الفعل الروسية على ذلك ,0,أين ردود الأفعال على الأمريكان أيها الروس  أوردت صحيفة الثورة الحكومية اليومية الصادرة في صنعاء يوم الأربعاء 2023 03 15م خبرا  بعنوان  موسكو  أمريكا تخلق بؤرا  للتوتر في مولدوفا وجورجيا لمواجهة روسيا   جاء فيه  ونقلت على لسان غروشكو  وأضاف   هالجواب على السؤال بالتعليق على الخير إن أمريكا تواجه تراجعا  وانحدارا  عن وضعها في سلم العلاقات الدولية  في كافة النواحي السياسية والاقتصادية والعسكرية   الخ  وتعمل بكل ما أ وت ي ت  من قوة  قبل أن تنقدح شرارة أزمتها الاقتصادية القادمة 2023 2024م  كي تشغل العالم بنفسه بالمواجهات العسكرية  حتى تعود إلى ما وراء المحيطين وتنكفئ على نفسها  رغبة من ساستها في العيش والبقاء يعلم السياسيون المتابعون بأن أمريكا تحيط روسيا بالمشاكل على حدودها السياسية لإنهاكها  لكن ما يتفاجأون به هو في الحقيقة تعلم روسيا تمام العلم أن مالدوفا وجورجيا تنتميان إلى عالم غير عالمها  وأنهما آلتا إليها بضعف عالمهما  فكما أن مالدوفا هي واحدة من البلقان بلاد المسلمين التي لم تخرج من سيطرتهم سوى في عصور ضعفهم  كذلك الأمر بالنسبة لجورجيا التي تعود للقوقاز   بين البحرين الأسود وقزوين   التي دخلها الإسلام عام 19هـ  بذلك لا تضع روسيا لهما بالا   وتتركهما إلى أصحابهما الأصليين وكأن الضعف السياسي الظاهر على أمريكا وروسيا  يوشك أن ينطق بأن المسرح الدولي يتهيأ لولادة دولة قوية ذات شأن عالمي  هي دولة الخلافة الراشدة على منهاج النبوة  قال رسول الله ﷺ  كتبه المهندس شفيق خميس   اليمن,0
السلام عليكم ورحمة الله وبركاته انا مسلم مصرى اعتز بالاسلام وبكونى مصرى وعربى لكن قرأة منذ قليل ان هناك الكثير من المصريين من اصول غير عربية مثل  وتركية وشركسية وأرمنية ويونانية ويهودية كيف اعرف الى اي اصول انتمى انا     ,1,يا حبيبي يا قلبي   كل من في مصر الان مصريون عرب ومسلمون على الاغلب   المصريون القدماء ينتمون عرقيا الى نفس الاصل الذي ينتمى اليه العرب ولغتهم القديمة ايضا من نفس عائلة اللغة العربية لذلك تجد ان اللغنتين اندمجتا في اللهجة المصرية الحالية  و عرب الجزيرة الذين استوطنوا مصر اصبحوا مصريين بسرعة   العروبة هي اللغة والثقافة والتربية والدين  لم يمض طويل وقت حتى اصبحت مصر تقود العروبة والاسلام الى اليوم   ودور مصر في التاريخ العربي اكبر دور فعلا وتاثيرا  نعم   استوعبت مصر اقواما من الشركس والترك والمغول ونازحين من الجوار الافريقي وهذا طبيعي   لا يوجد شعب صاف عرقيا على وجه الكرة الارضية   في تركيا الحديثة في استانبول وانقرة وانتاليا لا تشاهد الملامح التركية الاصلية الا قليلا وفي الغالب تجد الملامح الرومية والبياض الاروبي وهم كلهم اتراك  وفي دمشق نفسها قلب العروبة   تجد الملامح الرومية والتركية والعربية والكردية والارمنية والسريانية وهم كلهم عرب سوريون  اما ايران فقد كشف الحمض النووي ان 55  من الفرس هم من اصول عربية وكلهم الان ايرانيون  الاسبان اكثر من نصفهم من اصول عربية وهم الان اسبان مسيحيون  وكل القوميات كذلك  القومية ثقافة وانتماء وليست دما    ان كل الدماء واحدة على الكوكب  ,1
لقد تعاهدت ان يكون شهر رمضان شهر التغيير  هل لديك عادات أو كلام تقوله لي كي يساعدني على ذلك ,1,السلام عليكم ورحمة الله وبركاتهكل التحية على هذه الهمة العالية والنية الرائعة   شهر رمضان المبارك هو ليس فقط شهر التغيير  بل هو نهج حياة هو تحديد للمصير  سواء في الحياة الدنيا أو الآخرة  نصيحتي الأساس لنفسي أولا  ولكل مؤمن مخلص هو أن ينتبه جيدا  ل  لصوص  شهر رمضان المبارك وأن يصر على تجنبها لا بل محاربتها بشتى الوسائل الممكنة والمتاحة   ولعل أخطر هؤلاء اللصوص هي المسلسلات التلفزيونية التي يعرضون فيها كل ساقط وضال  من القصص الغريبة المستهجنة المراد بها هدم العائلات وطمس هويتها الإسلامية وتفخيخ عقول شباب الأمة  فتراهم يجي دون حبكها حتى تتعلق بها قلوب الناس لذلك تجنب الوقوع في حبائل هذا الصنف من أصناف اللصوص في شهر رمضان المبارك وإتتبه جيدا  بأن تمارس في هذا الشهر المبارك عبادة   الصيام بكل نفس من أنفاسك وليس مجرد الإنقطاع عن الأكل والشرب فحسب   لأن من صيامات رمضان أيضا    عن الكلام البذي  عن الإنترنت الضار  عن الشهوة الشيطانية  عن عقوق الوالدين  عن المقاهي  عن اللهو والتسلية الضارة  عن مضايقة الآخرين  عن التبذير  عن ظن السوء  عن الكسل  عن الكذب  عن البخل  عن الرشوة  عن الإساءة الى الجسم بحيث نحشوه حشوا  بكل ما لذب وطاب حتى يصل لمرحلة المرض والخمول       لذلك إتخذ القرار بالصيام   وحاول بكل ما أؤتيت من قوة وأدعو الله تعالى أن يعينك على ذلك فضلا  عن ذلك  فكر بأن يكون لديك خلال هذا الشهر الكريم المبارك   مشروع خاص  تعمل عليه بجد  وإخلاص   أساعد الآخرين على حفظ القرآن  أحض على ترك الربا  أ ظهر الإسلام بأبهى صور وبأنسب السبل والتعاون مع أصحاب الهمم العالية للنجاح في ذلك  أتخصص في مكائد الشيطان وأدعو الناس وأحذرهم من هذه المكائد  أواسي كبار السن وأساعدهم  أساهم في جمع مساعدات وتوزيعها على المحتاج دون إحراجه         ع ود نفسك على أن يكون شهر رمضان المبارك ليس فرصة لتغيير نفسك فحسب بل للمساهمة في تغيير الآخرين أيضا  نحو الأفضل وفقك الله تعالى لما يحب ويرضى في القول والعمل ,1
نشر وثائق لجنة التحقيق في اغتيال ياسر عرفات تبين كيف تم اغتياله ولائحة اتهام ضمت ستة أشخاص  توفيق الطيراوي رئيس اللجنة أقر بصحتها في لقاء له مع قناة  الميادين  قائل ا  إن هناك من استطاع الوصول إليها بقرصنة حواسيب اللجنة  لماذا لا توجد أي ردة فعل ,0,مات الملك عاش الملك  انتهى الأمر  فمن يقوم بتصفية الزعماء هذا يبقى موجود في الظل دائما  ولا يظهر ليستلم القيادة بل مثل الظل للكرسي ولمن يجلس عليه بمجرد انتهاء صلاحية من يجلس على الكرسي يلف الحبل الحرير حول رقبته وينتهي الأمر ليأتي وجه جديد  ماحدث مع عرفات حدث أيضا مع الملك حسين  علاج في الخارج شارف على الموت عاد فجأة غير قوانين ووضع بديله ثم عاد للعلاج وأيام قليلة يتم إعلان الوفاة  لذلك ردة الفعل تكون لأمر بيت بليل فقط لاغير ,1
