Question,Subj_Q,Answer,Subj_A
ما حقيقة التوافق السعودي الإيراني بالرعاية الصينية  وما حقيقة موقف ومصالح الصين وأمريكا وكيان يهود من ذلك ,0,تحليل سياسي,1
ما هي قنوات اليوتيوب لتعلم ديني الإسلام من البداية ,0,شكرا لك على طلب الإجابة بالطبع هناك قنوات كثيرة تصنع محتوى تعليمى دينى جيد  لكن أنصحك بالاشتراك فى أحد الدورات التى تقدمها الأكاديميات عبر الإنترنت وذلك لأنك تريد التعلم من البداية  وقنوات اليوتيوب يمكنك مشاهدتها أيض ا  ولكن لا تعتمد عليها وبالمناسبة  أكاديمية زاد للعلوم الشرعية  ستبدأ الموسم المقبل فى  8 28  ومدة الدراسة سنتين  يعنى لديك فرصة للتقديم  و التقديم من خلال الموقع الرسمى لها ,0
مبادرة فطرة أطلقت حملة تقليل تقييمات فيسبوك  هل ستنجح ,0,إن ڜاء الله,0
ماذا سوف يحدث للدولة إذا كان الحكم إسلامي ق ح  دون إدخال قوانين وضعية  وهل سوف تكبر الدولة وتكون متقدمة ,1,تابع حكم رسول الله والخلفاء الراشدين من بعده ,1
لماذا البعض يضيق أفقه وتضيق مساحاته على الذين ينظرون من غير زاويته  ويحكمون بغير أحكامه  ويقيسون بغير مقاييسه  رغم أنه يقدم نفسه بأنه أهل وطالب حكمة  جوابه الحظر  مبرراته الموضوعية أو التطرف أو الحيادية   إلخ  ما تجربتك  وما رأيك  مقص نظام أم فرد ,1,بسم الله الرحمن الرحيم  والحمد لله رب العالمين  وصلى الله وسلم وبارك على عبده ورسوله محمد  وعلى آله وصحبه وأم ته السلام عليكم ورحمة الله وبركاته جاء الجواب العملي سريعا من قورا نفسها بحظر السؤال من الساحة العامة  ولذلك كتبت الاستئناف التاليتم حظر سؤالي رغم خلوه من أي سبب يدعو لذلك نحن المسلمون قد بين لنا القرآن الكريم عظمة الفكر والحوار الفكري ونبه إلى أن الفكر يقابل بالفكر والحجة والدليل والبرهان وليس بالحظر والسجن  ٱد ع  إ ل ى  س ب یل  ر ب  ك  ب ٱل ح ك م ة  و ٱل م و ع ظ ة  ٱل ح س ن ة   و ج ـ د ل ه م ب ٱل  ت ی ه ی  أ ح س ن   إ ن   ر ب  ك  ه و  أ ع ل م  ب م ن ض ل   ع ن س ب یل ه ۦ و ه و  أ ع ل م  ب ٱل م ه ت د ین    س ور ة  الن  ح ل   ١٢٥ سؤال محوري في أصول الحوار  منه يميز الحكمة من أدعيائها  فالحكمة تكون بالحجة والدليل والبرهان  وأما الحظر والحجب فهو سلاح فاقدي الحجة والدليل  وبل سلاح محاربي الحكمة قصة سيدنا موسى عليه السلام مع فرعون  كيف خاطب سيدنا موسى عقل فرعون  فكان جواب فرعون السخرية والاستهزاء والتهديد والوعيد ثم الحرب   ق ال  ف ر ع و ن  و م ا ر ب   ٱل ع ـ ل م ین   ٢٣  ق ال  ر ب   ٱلس  م ـ و    ت  و ٱل أ ر ض  و م ا ب ی ن ه م ا   إ ن ك نت م م  وق ن ین   ٢٤  ق ال  ل م ن  ح و ل ه ۥ  أ ل ا ت س ت م ع ون   ٢٥  ق ال  ر ب  ك م  و ر ب   ء اب ا ى  ك م  ٱل أ و  ل ین   ٢٦  ق ال  إ ن   ر س ول ك م  ٱل  ذ ی  أ ر س ل  إ ل ی ك م  ل م ج ن ون   ٢٧  ق ال  ر ب   ٱل م ش ر ق  و ٱل م غ ر ب  و م ا ب ی ن ه م ا   إ ن ك نت م  ت ع ق ل ون   ٢٨   س ور ة  الش  ع ر اء   ٢٣ ٢٩ حظر السؤال يؤكد لي شخصيا أن المعرفة ليست غاية الموقع  وليس الربح التجاري المجرد  وإنما أن يكون حوار موجها الا ان يكون هذا الحظر قرارا شخصيا مزاجيا وليس مهنيا  فهذا يقتضي الاستدراك ورفع الحظر  فضلا عن مساءلة المشرفين تحياتي الطيبة,1
للخروج من مخدر العادة إلى يقظة ونور ومتعة وقوة العبادة أسألك ومعارفك  لماذا عندما تقدم على أمر ما  قول أو فعل كالأكل أو الشغل أو تلاوة القرآن الكريم فتقول  بسم الله الرحمن الرحيم  قاصدا ومدركا للمعنى  بإذن وتفويض وعون ورحمة الله  يختلف الأثر جذريا ,1,إن هذا السؤال الهادف نتاج تجربة شخصية يومية عند البعض من الناس  فهو دعوة للتحرر من مخدر العادة إلى لذة اليقظة  دعوة لتذوق ألذ  اللذة  لذة العبادة بمفهومها العام  مطلق طاعة الله في كل ما أمر ونهى  أي لذه الحياة المبصرة  لذة العيش بنظام الله لتدرك المقصود أنظر إلى أمور أدعوك إلى أن تجرب ذلك بنفسك  في كل جوانب حياتك مثال إبدأ بقراءة البسملة متلفظا بوعي كل كلماتها وأنت مدركا لمعناها تفكر في يدك التي بها تشرب وتأكل وتشتغل  الهواء الذي تستنشقة  تفكر لو أنه مدفوع الثمن ليوم  أو انعدم لدقيقة واحدة وليس دقائق الليل الذي تسكن  لو أنه إنعدم أو امتد فلا ينتهي وهكذا مع كل جانب من حياتك ونفسك وواقعك وعالمك    وأنت تقرأ سورة الفاتحة  وتفتتح بالحمد بعد البسملة تلفظ بها وأنت تعني المعاني التالية لجملة والآن ثم ثم هل أدركت لذة اليقظة   س ور ة  ي وس ف   ١٠٥ ١١١ دوام التفكر في الآيات الكونية والتدبر في آيات القرآن الكريم السبيل إلى اليقظة البناءة  إ ن   ف ی خ ل ق  ٱلس  م ـ و    ت  و ٱل أ ر ض  و ٱخ ت ل ـ ف  ٱل  ی ل  و ٱلن  ه ار  ل ـ  ای ـ ت  ل  أ و ل ی ٱل أ ل ب ـ ب   ١٩٠  ٱل  ذ ین  ی ذ ك ر ون  ٱلل  ه  ق ی ـ م ا و ق ع ود ا و ع ل ى  ج ن وب ه م  و ی ت ف ك  ر ون  ف ی خ ل ق  ٱلس  م ـ و    ت  و ٱل أ ر ض  ر ب  ن ا م ا خ ل ق ت  ه ـ ذ ا ب ـ ط ل ا س ب ح ـ ن ك  ف ق ن ا ع ذ اب  ٱلن  ار   ١٩١    س ور ة  ا ل  ع م ر ان   ١٩٠ ١٩١   و ٱذ ك ر ر  ب  ك  ف ی ن ف س ك  ت ض ر  ع ا و خ یف ة  و د ون  ٱل ج ه ر  م ن  ٱل ق و ل  ب ٱل غ د و   و ٱل ـ  اص ال  و ل ا ت ك ن م  ن  ٱل غ ـ ف ل ین    س ور ة  الأ ع ر اف   ٢٠٥ بدوام التفكر تتفادى الغفلة وتحيا كإنسان كريم   و ل ق د  ذ ر أ ن ا ل ج ه ن  م  ك ث یر ا م  ن  ٱل ج ن   و ٱل إ نس   ل ه م  ق ل وب  ل  ا ی ف ق ه ون  ب ه ا و ل ه م  أ ع ی ن  ل  ا ی ب ص ر ون  ب ه ا و ل ه م  ء اذ ان  ل  ا ی س م ع ون  ب ه ا   أ و ل ـ  ى  ك  ك ٱل أ ن ع ـ م  ب ل  ه م  أ ض ل    أ و ل ـ  ى  ك  ه م  ٱل غ ـ ف ل ون    س ور ة  الأ ع ر اف   ١٧٩ شاركني تجربتك  وأيقظ من حولك من مخدر العادة قبل فوات الأوان  استمتع بالعبادة  وإياك أن تمتها العادة تحياتي الطيبة  السلام عليكم ورحمة الله وبركاته,1
كلما مر الزمن كلما أصبحت نسمة رمضان والأعياد والمناسبات الدينية تقل أكثر وأكثر  من يشعر بذلك أيضا   هل هنالك سبب لذلك  أم أن الأمر ليس صحيح وأن القليل من هم يعيشون هذا الأمر ,1,بسم الله الرحمن الرحيم  والحمد لله رب العالمين  وصلى الله وسلم وبارك على عبده ورسوله محمد  وعلى آل محمد وصحبه وأم ته  السلام عليكم ورحمة الله وبركاته سبق وأجبت على هذا السؤال,1
انا طالبة بجورجيا واقترب رمضان فمع من يجب ان اصوم  السعودية الاردن  الخ  علما بأن كل بلد لديه موعد مختلف  ,0,بسم الله الرحمن الرحيم والحمد لله رب العالمين  وصلى الله وسلم وبارك على عبده ورسوله محمد وعلى آل محمد وصحبه وأم ته  السلام عليكم ورحمة الله وبركاته الأخت الكريمة  هذه مشكلة متكررة سنوية تثبت مدى استهتار الكيانات السياسية في العالم الإسلامي ومنه العربي بحرمات الإسلام وأركانهالصورة التالية لهذه السنة ٢٠٢٢   ١٤٤٣ تعبر عن ألف كلمةالعبرة في مدلول قول الرسول صلى الله عليه وآله وسلم  أول بها يجب صيام رمضان  فيحرم إفطار نهاره  وبها يتعين العيد فيحرم صيام يوم العيد في المقال التالي بيان تفصيلي لهذا الحكم إن  صوم رمضان وعيد الفطر وعيد الأضحى  بالإضافة إلى أنها عبادة تنظم علاقة المسلمين بربهم  فهي مظهر من المظاهر العامة للأمة الإسلامية  يبدأون الصيام معا  في يوم واحد  ويحتفلون بالعيد معا  في يوم واحد  امتثالا  لأوامر الله تعالى  التي توحد بينهم  وليس امتثالا  لقرارات الحكام السياسية ولا لفتاوى علماء السلاطين النفاقية  التي صيغت للتفريق بينهم قال صلى الله عليه وعلى آله وسلم    هذه الأحاديث النبوية صريحة الدلالة  على أن  السبب الشرعي لبداية شهر رمضان هو رؤية هلال رمضان  وأن السبب الشرعي لعيد الفطر هو رؤية هلال شوال  وخطاب الشارع في هذه الأحاديث موجه إلى جميع المسلمين لا فرق بين شامي وحجازي ولا بين إندونيسي وعراقي  فألفاظ الأحاديث جاءت عام ة  لأن ضمير الجماعة في   إن  رؤية مسلم هلال رمضان أو هلال شوال توجب على المسلمين جميعهم الصوم أو الإفطار  لا فرق بين بلد وبلد  ولا بين مسلم ومسلم  لأن  من يرى الهلال من المسلمين حجة على من لم يره  وليست شهادة مسلم في بلد أولى من شهادة مسلم في بلد آخر  ولا قيمة للتقسيمات والحدود التي أقامها الكفار في بلاد المسلمين  والتي جعلت أهل درعا في سوريا يصومون بينما أهل الرمثا في الأردن يفطرون  وليس بين المدينتين إلا حدود وهمية رسمها الكفار منذ أن ه دمت الخلافة  ثم حرص على بقائها الحكام إن  الأمر في أحاديث الرسول صلى الله عليه وعلى آله وسلم بصوم رمضان لرؤية الهلال أم ا اختلاف المطالعوأم ا اليوم أيها المسلمون إن  عدم توحيد رؤية الهلال ما هي إلا مشكلة من مشكلات عديدة تواجه المسلمين بسبب غياب دولة الخلافة  التي ترعى شؤونهم بأحكام الإسلام  وتوحدهم في ظل  راية لا إله إلا الله محمد رسول الله  فعلى المسلمين التقيد بالحكم الشرعي في صيامهم وإفطارهم وكل أعمالهم  وإن لم يتقيد حكامهم به  فلا طاعة لمخلوق في معصية الخالق  فإن بلغهم خبر رؤية مسلم هلال رمضان من أي  مكان على الأرض  وجب عليهم الصيام  وإن بلغهم خبر رؤية مسلم هلال شوال من أي  مكان على الأرض  وجب عليهم الإفطار أم ا الحل   الجذري الصحيح لجميع مشكلات المسلمين فإن ه بأيديهم  وهو العمل الجاد  مع العاملين المخلصين لاستئناف الحياة الإسلامية بإعادة دولة الخلافة  وتنصيب خليفة يوحد دولهم  ويطبق شرع الله عليهم  فيحملون معه رسالة الإسلام بالجهاد إلى الناس كاف ة  لتكون كلمة الذين كفروا السفلى وكلمة الله هي العليا  وبذلك يعيشون حياة عز   وكرامة في الدنيا  وينالون رضوان الله وثوابه في الآخرة قال تعالى   المصدر  ,1
أريد أن أعرف كيف أن الله عز وجل كتب مقادير بني آدم وأنه سبحانه وتعالى جعله حر في اختياراته ,1,طبعا لا يمكنك أن تعرف هذا أولا   لأن عقل الإنسان لا يمكنه أن يدرك تدبير الله لما خلقه  فهذا يفوق الطاقة البشرية  ل خ ل ق  الس  م او ات  و ال أ ر ض  أ ك ب ر  م ن  خ ل ق  الن  اس  و ل  ك ن   أ ك ث ر  الن  اس  ل ا ي ع ل م ون    غافر   57 فخلق السماوات والأرض وتدبير أمرها أكبر من خلق الناس على الرغم من التعقيد البالغ لخلق الإنسان  فما بالك بخلق الكون هناك الكثير مما هو موجود حولنا ولا ندركه بكل بساطة  وهي أشياء مادية بحتة  فما بالك بما هو غيبي الخلاصة أن جزءا كبيرا من الإيمان هو الإيمان بالغيب  بعد ثبوت هذا الإيمان بالدليل القطعي لأنه لو كانت كل عوامل الإيمان واضحة ومادية فلا مجال للتميز بين البشرطبعا لا يمكنك أن تعرف هذا أولا   لأن عقل الإنسان لا يمكنه أن يدرك تدبير الله لما خلقه  فهذا يفوق الطاقة البشرية  ل خ ل ق  الس  م او ات  و ال أ ر ض  أ ك ب ر  م ن  خ ل ق  الن  اس  و ل  ك ن   أ ك ث ر  الن  اس  ل ا ي ع ل م ون    غافر   57 فخلق السماوات والأرض وتدبير أمرها أكبر من خلق الناس على الرغم من التعقيد البالغ لخلق الإنسان  فما بالك بخلق الكون هناك الكثير مما هو موجود حولنا ولا ندركه بكل بساطة  وهي أشياء مادية بحتة  فما بالك بما هو غيبي الخلاصة أن جزءا كبيرا من الإيمان هو الإيمان بالغيب  بعد ثبوت هذا الإيمان بالدليل القطعي لأنه لو كانت كل عوامل الإيمان واضحة ومادية فلا مجال للتميز بين البشر  ال  ذ ين  ي ؤ م ن ون  ب ال غ ي ب  و ي ق يم ون  الص  ل اة  و م م  ا ر ز ق ن اه م  ي نف ق ون    البقرة   3 والتفكر في القضاء والقدر منهي عنه لهذا السبب ولذلك لما جاء رجل إلى سيدنا على بن أبي طالب يقول  يا أمير المؤمنين أخبرني عن القدر  قال  طريق دقيق  لا تمش فيه  قال  يا أمير المؤمنين  أخبرني عن القدر  قال  بحر عميق  لا تخض فيه  قال  يا أمير المؤمنين  أخبرني عن القدر  قال  سر خفي لله لا تفشه  ويقول الإمام علي رضي الله عنه    إن الله أمر تخييرا  ونهى تحذيرا  وكلف تيسيرا  ولم ي عص مغلوبا  ولم يرسل الرسل إلى خلقه عبثا   ولم يخلق السموات والأرض باطلا   ذلك ظن الذين كفروا   فويل للذين كفروا من النار   ويقول الإمام جعفر الصادق رحمه الله    إن الله تعالى أراد بنا شيئا   وأراد منا شيئا   فما أراده بنا طواه عنا  وما أراده منا أظهره لنا   فما بالنا نشتغل بما أراده بنا عما أراده منا   ,1
كيف أستطيع أن أتعلم كل شيء عن الدين الإسلامي وأدخل فيه  من أين أبدأ ,1,بسم الله الرحمن الرحيم  والحمد لله رب العالمين وصلى الله وسلم وبارك على عبده ورسوله محمد  وعلى آل محمد وصحبه وأم ته  السلام عليكم ورحمة الله وبركاته الأمر بسيط جدا من بساطة الإسلام فأن تسلم نفسك إليه لأنه هو وحده ربك الحكيم العليم القدير الرحمن الرحيم  خلقك  وهو ربك  ومالك  ومالك ما تملك  ومالك الأرض والكون الذي تعيش فيه  وثق به أكثر من ثقتك بطبيبك الذي تسلم له نفسك لعلاج أو عملية جراحية ضمن الله لك رزقك فهو الرزاق وحياتك فهو المحيي والمميت وكلفك بالعيش وفق حكمه ليصلح أمرك بصلاح عملك فتكون من الصالحين  أي أن تعيش تبعا لأوامره ونواهيه ومن ذلك سعيك لتسترزق  وأوامره ونواهيه ما اشتمل عليه كتابه الآيات الكريمة التالية فيها ما سبق ذكره    س ور ة  الأ ع ر اف   ١٥٨   ء ام ن  ٱلر  س ول  ب م ا  أ نز ل  إ ل ی ه  م ن ر  ب  ه ۦ و ٱل م ؤ م ن ون   ك ل   ء ام ن  ب ٱلل  ه  و م ل ـ  ى  ك ت ه ۦ و ك ت ب ه ۦ و ر س ل ه ۦ ل ا ن ف ر  ق  ب ی ن  أ ح د  م  ن ر  س ل ه ۦ  و ق ال وا  س م ع ن ا و أ ط ع ن ا  غ ف ر ان ك  ر ب  ن ا و إ ل ی ك  ٱل م ص یر    س ور ة  الب ق ر ة   ٢٨٥    س ور ة  الأ ح ز اب   ٣٦   و م ا  ء ات اك م  ٱلر  س ول  ف خ ذ وه  و م ا ن ه اك م  ع ن ه  ف ٱنت ه وا   و ٱت  ق وا  ٱلل  ه   إ ن   ٱلل  ه  ش د ید  ٱل ع ق اب    س ور ة  الح ش ر   ٧   ق ل  إ ن ك نت م  ت ح ب  ون  ٱلل  ه   س ور ة  ا ل  ع م ر ان   ٣١ ٣٢     إ ن   ٱلل  ه  ی أ م ر ك م  أ ن ت ؤ د  وا  ٱل أ م ـ ن ـ ت  إ ل ى   أ ه ل ه ا و إ ذ ا ح ك م ت م ب ی ن  ٱلن  اس  أ ن ت ح ك م وا  ب ٱل ع د ل    س ور ة  الن  س اء   ٥٨   و ل ا ت ق ول وا  ل م ا  س ور ة  الن  ح ل   ١١٦    س ور ة  الك ه ف   ١٠٨ ١١٠ تحياتي الطيبة السلام عليكم ورحمة الله وبركاته,1
