Question,Subj_Q,Answer,Subj_A,Domain
من هو ولي أمر المسلمين حالي ا  هل هو واحد أم إن لكل دولة ولي أمر خاص بها ,0,قال تعالى    إ ن  م ا و ل ي  ك م  الل  ه  و ر س ول ه  و ال  ذ ين  آم ن وا ال  ذ ين  ي ق يم ون  الص  ل اة  و ي ؤ ت ون  الز  ك اة  و ه م  ر اك ع ون   55  ,1,التاريخ العالمي
إن شاء الله هجهز خطبة جمعة أي أكثر الموضوعات الحالية التي يحتاج المجتمع إليها ,0,بر الابناء,1,التاريخ العالمي
ما علاقة الثورة البلشفية بالصهيونية  ,0,الثورة البلشافية قامت للقضاء علي الحكم الملكي للقيصر في روسيا   في نفس وقت القضاء علي الخلافة العثمانية و لنفس الاسباب  حتي تتمكن الصهيونية من حكم العالم ,1,التاريخ العالمي
ما هي اعظم حضارات في تاريخ الأرض من اول يوم للحضارات وحتى اليوم   ماهي أعظم حضارات مرت في تاريخ البشرية  ,1,حضارات الشرق الأدنىيكفي أن أقول لك بأنه في هذه البقعة من الأرض تم أختراع الكتابة وإستكشاف الزراعة وإختراع الأبجدية وتم أختراع أول قانون  قانون حمورابي  وأول إمبراطورية في التاريخ وأول جيش في التاريخ وأقدم مدن العالم  بأختصار الشرق الأدنى هو لب الحضارة البشرية  ,1,التاريخ العالمي
ما معنى  م ا م ل ك ت  أ ي م ان ك م     هل هي حالة لزمن محدد وإنتهى  أم إنها سارية المفعول إلى يومنا هذا ,1,الحمد لله والصلاة والسلام على رسول الله وعلى آله وصحبه أما بعد فإن هذا المقطع من القرآن الكريم جزء من الآية الثالثة من سورة النساء  وهي قوله تعالى  وإن خفتم ألا تقسطوا في اليتامى فانكحوا ما طاب لكم من النساء مثنى وثلاث ورباع فإن خفتم ألا تعدلوا فواحدة أو ما ملكت أيمانكم ذلك أدنى ألا تعولوا   النساء  3 ومعنى ملكت أيمانكم  إماؤكم  وهن الرقيقات المملوكات للرجل فيجوز له أن يطأهن بملك اليمين دون عقد ولا مهر ولا شهود ولا ولي    إذا لم يوجد مانع شرعي من التحريم بالرضاعة أو النسب قالابن عطية  وما ملكت أيمانكم  يريد الإماء  والمعنى  إن خاف الرجل ألا يعدل في ع ش رة واحدة فما ملكت يمينه  وإسناد الملك لليمين وهي اليد اليمنى  وذلك لشرفها وتمكنها وخصوصيتها بالمحاسن وقد انتهى ملك اليمين في هذا العصر فلا يوجد عبيد ولا أرقاء  ولا يعني هذا إلغاء أحكام الرق  إذا وجدت أسبابه وانتفت موانعه قالابن قدامةفي المغني الأصل في الآدميين الحرية فإن الله تعالى خلق آدم وذريته أحرارا   وإنما الرق لعارض  فإذا لم يعلم العارض  فله حكم الأصل  ولا يجوز لأحد أن يسترق نفسه لغيره  ولو رضي بذلك  لأن الحرية حق لله تعالى  هذا ما اتفق عليه أهل العلم  وعليه  فلا يجوز للمرأة أن تهب نفسها لرجل كأنها ملك يمينه  ولكن لا مانع من أن تتنازل له عن بعض حقوقها الشخصية الأخرى أو كلها  كأن تقبل الزواج منه  مع التنازل عن حقها في النفقة أو السكن وأما تحريم ما أحل الله تعالى أو تحليل ما حرم فهذا من أكبر الكبائر  وأعظم الذنوب  فالتحريم والتحليل من حق الخالق سبحانه وتعالى  قال تعالى   ألا له الخلق والأمر تبارك الله رب العالمين  وقال تعالى   ولا تقولوا لما تصف ألسنتكم الكذب هذا حلال وهذا حرام لتفتروا على الله الكذب إن الذين يفترون على الله الكذب لا يفلحون  متاع قليل ولهم عذاب أليم  النحل 116 117 والذي يسن القوانين لتحريم تعدد الزوجات آثم إثما  عظيما  لمخالفته كتاب الله وسنة رسوله صلى الله عليه وسلم ,0,التاريخ العالمي
هل تميز العصر العباسى بحرية الفكر لمختلف الافكار والمذاهب  سمعت انه ظهرت مختلف الافكار والمذاهب وان العرب انفتحوا على علوم الحضارات الاخرى,1,سؤالك جيد   هنا احب أن انوه أن العصر العباسي او بالأحرى أوله فقط  اي ايام هارون الرشيد وابنه المامون و المعتصم  كان من اوج واعلى نقطة وصل إليها العرب   اولا لان هارون الرشيد كان يحب العلم والشعر والفنون الجميلة و تسامح مع كل الطوائف والاديان  استعمل السريان واليهود حتى في الدواوين والفرس كعلماء  الخ في عصره مع ابنه حوالي مءة ١٠٠ سنة نال العرب المجد الذي يتغنون فيه من اكثر من الف سنة   وهو فقط ١٠٠ سنة  لأنه كان يوجد تسامح ديني وتعايش بين الاديان والشعوب   وبعد ذلك رجع التعصب والقتل والذبح خاصة بعد موت المعتصم واعتلاء المتوكل الذي صار سفاحا باسم الدين,1,التاريخ العالمي
عندما قال بولس  وانا أطلب من إله ربنا يسوع المسيح  كيف يقول بولس ان هناك إله للرب يسوع خصوصا ان لفظ  رب  حسب النصاري هي لقب للاهوت المسيح لأن اللقب الناسوتي للمسيح هو  عبد   هل هذا يثبت قول ان للإله إله ,1,  السلام عليكم      انا احترم جميع الثقافات والاديان الاخرى وما سوف اكتبه موثق تأريخيا ورسميا باللغة الإنجليزية  اعتماد عقيدة الثالوث والقيامة بعد ثلاث ايام تمت رسميا فقط سنة 325 من قبل الإمبراطور الروماني قسطنطين الأول خلال عقد مجمع نيقية مع بعض اساقفته حيث تم نقل تلك العقائد من ديانات وثنية قديمة كالبابلية والفرعونية المصرية التي كانت عقيدتها للثالوث    على سبيلالمثال العقيدة الوثنية الفرعونية القديمة     اوزيرس  حورس   ايزيز  وكذلك نقلوا أعياد وثنية مثل الكرسمس الأعياد المسيحية الحالية يوم ٢٥ ديسمبر واعياد القيامة من الديانة الوثنية البابلية   السيد المسيح عليه السلام كما باقي أنبياء الله سبحانه وتعالى والمرسلين جميعا قالوا بوحدانية الله سبحانه وتعالى ,1,التاريخ العالمي
ما هي المعايير والأ سس التي تم على الإعتماد عليها عندما ج م ع  القرآن إن لم يكن على أساس أسبقية التنزيل  وكيف أوصى النبي محمد ﷺ بإتباع كتاب لم يكن قد ج مـع حينها  ماذا لو مات أحد حفظة القرآن قبل جمعـه  ,1,لم يتم جمع القرآن بالشكل الذي يتصوره البعض  والذي ربما يوحي بأنه كان متفرقات هنا وهناك دون ضوابط أو أحكام في الواقع القرآن مدون  مكتوب  من أول يوم  وهناك من كانوا ي عرفون بكتبة الوحي على عهد الرسول صلى الله عليه وسلم  وهم الذين كانوا يعرفون الكتابة من الصحابة  وقد كانوا يكتبون القرآن على ما كان متوفرا في وقتهم من أدوات الكتابة  بل وكانت كل سورة ت كتب قبل أو بعد السورة التي يقول عنها الرسول صلى الله عليه وسلم  بل وكل آية كانت تكتب في السياق الذي نزل به الوحي إ ن  ا ن ح ن  ن ز  ل ن ا الذ  ك ر  و إ ن  ا ل ه  ل ح اف ظ ون   9    الحجر,1,التاريخ العالمي
اين تقع كنيسة القيامة  ,0,ك ن يس ة  ٱل م ه د هي الكنيسة التي ولد يسوع المسيح في موقعها  وهي تقع في بيت لحم جنوب الضفة الغربية في فلسطين على بعد أربعة كيلومترات من قصر مؤتمرات هي ولد يسوع المسيح في موقعها  بناها الإمبراطور قسطنطين عام 335  تعتبر كنيسة المهد من أقدم كنائس فلسطين والعالم والأهم من هذا حقيقة أن   الطقوس الدينية تقام بانتظام حت ى الآن منذ مطلع القرن السادس الميلادي حين شي د الإمبراطور الروماني يوستنيان الكنيسة بشكلها الحالي دخلت كنيسة المهد سنة 2012 قائمة مواقع التراث الع لحم  بناها الإمبراطور قسطنطين عام 335 ,0,التاريخ العالمي
المسيحيون يعبدون الله ثلاثة في واحد   ثلاثة في واحد  3  لماذا لا يعترف النصاري انهم يعبدون ٣ الهة ,1,المسيحيون يعبدون الله واحدكما صر ح الكتاب في مواضع عد ة منها   اسمع يا إسرائيل  الر ب إلهنا رب  واحد  فأحب  الرب إلهك  بكل قلبك  وبكل نفسك  وبكل فكرك  وبكل قوتك  هذه هي الوصية الأولى   المسيحيون يعبدون الله واحدكما صر ح الكتاب في مواضع عد ة منها   اسمع يا إسرائيل  الر ب إلهنا رب  واحد  فأحب  الرب إلهك  بكل قلبك  وبكل نفسك  وبكل فكرك  وبكل قوتك  هذه هي الوصية الأولى   ,1,التاريخ العالمي
