Question,Subj_Q,Answer,Subj_A,Domain
كيف تتجاوز الفتاة رغبتها في الارتباط اي الزواج فقط لأنها تريد ان تشعر بأن هناك شخص يحبها رغم انها محبوبة في الوسط الذي تعيش به و سعيدة بحياتها ,1,ليش تتجاوز  رغبتها في الارتباط طبيعيه ومشروعه  احلمي واتمني واطلبيه من ربنا وحطي كل المواصفات الي انتي عايزاها  واستعدي انتي كمان لتكون العروس الي يتمناها اي شاب  رغبتك بمكانها ومافي احلا من انك تعيشي مشوار حياتك مع الشخص الصح  لكن لا تربطي حياتك على الارتباط ابدا   ان حصل خير وبركة ونعمة رح نحافظ عليها  وان تأخر او ما حصل منضل مكملين بسعادة وروح معنويه عالية ومتفائلين انه الي ربنا كتب لينا هو الخير,1,ثقافة عالمية
كيف اسعد نفسي     ,1,اقترب من الله,1,ثقافة عالمية
أيه الطرق اللي أتخذها علشان ألاقي عروسة لأن المنطقة بتاعتي مفيهاش حد مناسب  البنات كتير بس مش عارف أيه الطرق الصحيحة    ,1,اسلام عليكماولا لازم تكون متدينة هتقول وانا هعرف ازي من طريقة لبسها تكون محترمه مش زي بنات الأيام دي طيب هتقولي لازم يعني تكون متدينهايوه لازم عشان لو هي كد فتأكد إنها هتراعي ربنا فيكتاني حاجة اعرف ماضيها ده لو لقيت البنت المناسبهوتالت حاجة و الاخيره ربنا هيديك ع قد نيتكفسلم امرك لله وإنشاء الله ربنا هيوفقك للاختيار المناسب,1,ثقافة عالمية
كيف اتخلص من التسويف وتاجيل كل الامور بسبب امر واحد لم ينجح واعلم انه خطا واحب منطقة الراحةولا اريد الخروج منها احب عالمي لا اقول اني لا انجز ولكن التاجيل ومنطقة الراحة تجعلني انجز العمل بس كتادية واجب ليس كما اريد وبنهاية العمر مر ولم استغل قدراتي ,1,يمكن اتخاذ العديد من الخطوات للتغلب على التسويف وتأجيل الأمور والخروج من منطقة الراحة  ومن بين هذه الخطوات 1  تحديد الأهداف  يجب تحديد الأهداف الواضحة والتي يجب تحقيقها  وتحديد الخطوات اللازمة لتحقيقها 2  تقليل الأنشغالات الغير ضرورية  يجب تقليل الأنشغالات الغير ضرورية والتركيز على المهام الأكثر أهمية 3  إنشاء خطط العمل اليومية  يمكن إنشاء قائمة بالمهام التي يجب القيام بها يوميا   وتحديد الأولويات والمواعيد النهائية لكل مهمة 4  تخصيص وقت للراحة  يجب تخصيص وقت مناسب للراحة والاسترخاء  والتأكد من الحصول على قسط كافي من النوم 5  تحديد مواقيت الذروة  يجب تحديد مواقيت الذروة للعمل والقيام بالمهام الأكثر أهمية خلال تلك المواقيت 6  البحث عن الأسباب الحقيقية للتسويف  يجب البحث عن الأسباب الحقيقية للتسويف والتعرف عليها لتحديدها ومعالجتها 7  تعلم إدارة الوقت  يمكن التعلم من خلال القراءة والتعلم من أفضل الممارسات والتجارب لإدارة الوقت بفعالية 8  الحصول على المساعدة  يمكن الحصول على المساعدة من المدربين والمستشارين والموظفين الآخرين لتحقيق نجاح أكبر 9  الالتزام بالمواعيد النهائية  يجب الالتزام بالمواعيد النهائية المحددة وتحقيق الأهداف في المواعيد المحددة 10  تحفيز النفس  يجب تحفيز النفس عن طريق تحديد المكافآت والمنافع الشخصية التي ستحصل عليها عند تحقيق الأهداف ,0,ثقافة عالمية
مرحب ا   كان حبيبي سينفصل عني في مرة لأنني تحدثت إلي حبيب صديقتي عبر الهاتف لأصلح بينهم وقال لي اذا تكررت سأتركك    وللأسف قمت بتكرار هذا الخطأ ولكن تحدثت مع شخص آخر علي انستجرام وقد عرف وانفصل عني وانا منهارة بسبب هذا لأني أحبه حق ا   بم  تنصحوني  ,1,وانتي مسمعتيش الكلام ليه,0,ثقافة عالمية
ما هو أكثر موقف محزن في حياتك ,1,شكرا على هذا السؤال   ربما بفضلك يمكنني البوح بمشاعر لم يسبق لي ان بحت بها   هناك الكثير من المواقف المحزنة في حياتي ليس موقف واحد فقط   و لكن اكثر موقف آلمني هو فراق الموت   هذه اول مرة تسمع بهذا المصطلح اليس كذلك   نعم انه من صنعي   على اي حال الموت اقتطف وردة جميلة من بستان حياتي كانت افضل جهة الجأ اليها عندما كنت صغيرة تخيل    اذهب اليها ابكي ارجع اضحك و كان شيء لم يكن   كانت اختي الكبرى و امي و صديقتي و حبيبتي و كل صفات القريبة الى قلبي   لم اشعر يوما انني احبها لهذا الحد   الا عندما سكن في جسدها ذلك الخبيث الملعون القاسي الذي يسمى ب     السرطان   كم اكرهه انه اناني و لعين و متملك   امتلكشكرا على هذا السؤال   ربما بفضلك يمكنني البوح بمشاعر لم يسبق لي ان بحت بها   هناك الكثير من المواقف المحزنة في حياتي ليس موقف واحد فقط   و لكن اكثر موقف آلمني هو فراق الموت   هذه اول مرة تسمع بهذا المصطلح اليس كذلك   نعم انه من صنعي   على اي حال الموت اقتطف وردة جميلة من بستان حياتي كانت افضل جهة الجأ اليها عندما كنت صغيرة تخيل    اذهب اليها ابكي ارجع اضحك و كان شيء لم يكن   كانت اختي الكبرى و امي و صديقتي و حبيبتي و كل صفات القريبة الى قلبي   لم اشعر يوما انني احبها لهذا الحد   الا عندما سكن في جسدها ذلك الخبيث الملعون القاسي الذي يسمى ب     السرطان   كم اكرهه انه اناني و لعين و متملك   امتلك جسدها كل عضو كل جزء فيها اعتبره ملك لكه اعتبره وجبته التي لا تخلوا من العسل استطعمتها او مرة فاصبح مدمن عليها اكل كل شيء في ذالك الجسد   كم كنت متؤلمة و انا اراها على سرير الموت و كل يوم استيقظ و اجدها لازالت حية افرح و قلبي موجوع من الداخل   غير مهم فهي امامي   كم كنت انانية فارح بحياتها و لكنها من الداخل تتألم من اسنان ذلك اللعين مغروسة في كل جزء من اعضاءها   كنت ادعوا لها الشفاء   حتى انت رجوت الله في معجزة ان تنتصر عليه   و انتصرت عليه و شفيت و تخلت عن ذلك الدواء الللعين الذي اخذ منها كل شعرة في رأسها و حاجبها   هل تعلم احساس ان يرجع لك حبيبك من الموت     كانه حلم و تحقق   رجعنا لطبيعتنا و اصبحت اجمل مما مضى   الحمد لله   بعد سنة رجع اليها ذلك المدمن المتغطرس المتملك و سكن في عروقها واستوطن دمها لم تكتمل فرحتي فهذه المرة لا تستطيع الاكل ولا الشرب و لا الحديث    حتى قبضة يدي ليس لها القوة حتى لمسكي كانت تصرخ ليل نهار من شدة الالم   فاصبحت انومها مثل الرضيع و كانني ارد لها جميل أيام تنويمها لي و كانت تقول انا لم اصرخ لست انا     نعم فذلك اللعين لم ترويها رجفات دمها فاخذ يستذيق عقلها   هي ايام حتى استيقظت فجر الخميس   لاسمع شهقات ابي   خرجت من الغرفة لاقابل اخي خارج من غرفتها و عيناه حمر و كانها بركان لاطل على شقة الباب الصغيرة لاراها مغاطات و ابي يمسك بيدها باكيا لم ادخل      خرجت الى المسبح لارى امي جالسة و تبكي وضعت راسي على كتفها و قلت لها كلمات لم تفهمني   اريد ان استيقظ فهذا الحلم مزعج   لم ابكي و لم تسقط من عيني حتى دمعة   فقط جالسة و ادعوا الله ان يوقضني لم ارها لاخر مرة لان الصمت كبلني و كنت رافضة ان اراها احيانا كنت اضحك   ماذا اضحك     نعم قالت الطبيبة النفسية ان البكاء المراد اخراجه كان من شدة الصدمة يخرج الضحك   نعم ماتت و ذهبت لرحمة ربها و انا عانيت سنتين على يدي الاطباء النفسانيين و الان الحمد الله على ما اعطى و اعلى ما ااخذ,1,ثقافة عالمية
ايمكننا ان نكتب رواية عن شخصيات عادت بالزمن الى وقت النبي محمد عليه الصلاة والسلام وعاشت معه ورسمها كقصص مصورة بدون رسم وجه النبي ولكن رسم جسده الشكلي فحسب وان تتطور الاحداث بنفس سيرة نبيينا الحبيب ولكن مع اضافة القليل من الخيال ,1,لا يجوز فهذا من التحريف في سيرة المصطفى محمد فارجوا اختيار موضوع اخر,1,ثقافة عالمية
كيف أساعد شخص تعلق بي واحبني جدا و يتعذب عند ابتعادي عنه هو من أخبرني بذلك و أخبرني انه سيستعد و يأتي لخطبتي اخبرته أنني لا اعده بشيء ليأتي و يحصل خير  ولكن بقلبي لا أشعر أنه الرجل الذي فيه صفات شريك حياتي  هل أخبره بذلك  لا أريده ان يتعذب,1,اولا     برائي صارحيه واخبريه انك  تريدين شخص لديه صفات محددة واخبريه انه لايوجد خلل بك او شي غير جميل بل انا لدي صفات ونقاط اريدها بشريك حياتي ولا توجد لديك وان كل شخص ينجذب الى صفات وملامح معينة لاغيرثانيا   كيف تعلق بك  الى هذا الحد لو لم تعطينه انتي مجال لكي يصل إلى هذه المرحلة من التعلق كان يجب منذ البداية عندما رايته  بانه بدأ يتعلق ان تقطعي هذا التعلق وتصارحيه او ان تلمحي له بأن علاقتكم صداقة اخوية فقط وأخيرا اذا لم تنفع اي طريقة معه ف من الافضل ان تتركيه وتحظريه حتى لايستطيع التواصل معك  نعم سينجرح لكن لمدة من الزمن وينسى وهذا افضل من ان يتأمل وفي الاخير لن توافقي به,1,ثقافة عالمية
ماهي افضل الاساليب للتخطيط ادارة الوقت تنظيم الحياة  ,0,هناك العديد من الأساليب التي يمكن استخدامها للتخطيط وإدارة الوقت وتنظيم الحياة  وفيما يلي بعض الأساليب الشائعة التي يمكن استخدامها 1  تحديد الأهداف  يجب تحديد الأهداف بشكل واضح ومحدد وتحديد المهام التي يجب القيام بها لتحقيق هذه الأهداف 2  جدولة الوقت  يمكن استخدام جدولة الوقت لتحديد الوقت المخصص لكل مهمة وضمان الالتزام بالجدول الزمني 3  استخدام تقنيات القائمة  يمكن استخدام تقنيات القائمة لتحديد المهام المطلوب القيام بها والتحقق منها بعد الانتهاء منها 4  الاسترخاء والراحة  يجب تخصيص وقت للاسترخاء والراحة للحفاظ على التوازن النفسي والصحي 5  تطوير المهارات الشخصية  يمكن تطوير المهارات الشخصية مثلهناك العديد من الأساليب التي يمكن استخدامها للتخطيط وإدارة الوقت وتنظيم الحياة  وفيما يلي بعض الأساليب الشائعة التي يمكن استخدامها 1  تحديد الأهداف  يجب تحديد الأهداف بشكل واضح ومحدد وتحديد المهام التي يجب القيام بها لتحقيق هذه الأهداف 2  جدولة الوقت  يمكن استخدام جدولة الوقت لتحديد الوقت المخصص لكل مهمة وضمان الالتزام بالجدول الزمني 3  استخدام تقنيات القائمة  يمكن استخدام تقنيات القائمة لتحديد المهام المطلوب القيام بها والتحقق منها بعد الانتهاء منها 4  الاسترخاء والراحة  يجب تخصيص وقت للاسترخاء والراحة للحفاظ على التوازن النفسي والصحي 5  تطوير المهارات الشخصية  يمكن تطوير المهارات الشخصية مثل الاتصال والقيادة وإدارة الصعوبات لتحسين الكفاءة والفاعلية 6  الاستفادة من التكنولوجيا  يمكن استخدام التكنولوجيا لإدارة الوقت والمواعيد وتذكير الأشخاص بالمهام المطلوب القيام بها 7  تحديد أولويات الأعمال  يجب تحديد الأولويات لضمان القيام بالمهام الأكثر أهمية أولا  والتأكد من تحقيق الأهداف بطريقة أكثر فعالية 8  تنظيم المكان  يجب تنظيم المكان المحيط بنا لتحقيق بيئة عمل فعالة ومريحة 9  التخطيط المسبق  يجب التخطيط المسبق للأحداث والمواعيد الهامة للتأكد من عدم تفويت أي موعد مهم 10  الالتزام بالخطط  يجب الالتزام بالخطط المحددة  ,0,ثقافة عالمية
ما هو الشئ الذي تمنيت أنه تم اختراعه او تطويره ليسهل عليك حياتك او حياة الآخرين   ,0,كنت اتمنى يخترعون نظارة مترجمة لجميع انواع النصوص واللغات بالاضافة الى قراءء النص,1,ثقافة عالمية
