Question,Subj_Q,Answer,Subj_A,Domain
لماذا ي فضل تناول الموز في وقت السحور ,1,    يحتوي الموز على العديد من الفوائد للصائمين خلال شهر رمضان وخاصة مع ارتفاع درجات الحرارة وطول ساعات الصيام  الأمر الذي يجعله من أفضل الأطعمة التي يجب أن يحرص الصائم على تناولها بشكل دائم في رمضان    يساهم تناول الموز على السحور في تقليل الشعور بالعطش خلال نهار رمضان  لاحتوائه على مادة البوتاسيوم  كما يعتبر علاجا نافعا لمرضى قرحة المعدة والتهاب الأمعاء إذا ما تم تناوله مع الحليب بعد الإفطار    ويساعد تناول الموز على زيادة احساس الصائم بالشبع  لاحتوائه على النشويات المعقدة التي تحتاج وقتا أكثر للهضم من النشويات البسيطة   كما يمنح الموز من يتناوله الطاقة والنشاط لاحتوائه على السكر الطبيعي ومضادات الأكسدة  الأمر الذي يجنب الصائم الشعور بالتعب أثناء الصيام    ويهدئ الموز من عصبية الصائم وي حسن من مزاجه  كونه يحتوي على مادة تريبتوفان وهي إحدى المواد التي تحس ن الحالة المزاجية وتمنح الشعور بالراحة والاسترخاء للمزيد عادات غذائية صحية للمريض تسهل عليه الصيام فى رمضان9 قواعد ذهبية للأكل في رمضانكيف تتفادى العطش أثناء الصيام سواء أكان صيام نافلة أو رمضان,0,قضية صحية
ما هي أهم النصائح التي يجب اتباعها في رمضان لتجنب العطش الشديد ,0,الجواب ¹  اختر الطعام الغني بالخضار والفواكه  والتركيز عليها كوجبة للسحور سيخفف من شعور العطش والجوع  لأنها غنية بالمياه والألياف  والتي تحتاج لفترة طويلة لتهضم ²  اشرب كمية  كافية من الماء بطريقة منتظمة بما لا يقل عن 8 أكواب  ويجب زيادتها بزيادة النشاط البدني ³  قلل الملح والدسم والتوابل والمخللات على مائدة رمضان وخاصة  على السحور ⁴  تجنب السكريات البسيطة مثل العصائر المحلاة والمشروبات الغازية والحلويات  لأنها تزيد من العطش بسبب سحبها للسوائل من الخلايا والدم ⁵  تجنب المجهود البدني الشاق  لأن التعرق الزائد يعني فقدان السوائل من الجسم ⁶  تجنب التعرض لأشعة الشمس  لأنه يزيد من التعرق وزيادة العطش مقالات ذات صلة للمزيد كيف تتفادى العطش أثناء الصيام سواء أكان صيام نافلة أو رمضانحل لمشاكل آلام الكلى أثناء صيام رمضانهل يمكنني الصيام مع قرحة المعدة شاي مفيد لهضم الصائميننصائح لأصحاب العمل الشاق المتعب في رمضانكمال الاجسام في رمضانكيف تمارس الرياضة في رمضان 8 حقائق لا تعرفونها عن التمور   بمناسبة دخول شهر رمضانتقنيات العناية بالبشرة والجمال في رمضانهل الصيام مفيد أم مضر للبشرة كيف تتمرن اثناء الصيامما هو وقت التدريب قبل الإفطار أو بعده هل المرضعة تصوم أم لا 9 قواعد ذهبية للأكل في رمضانأفضل وقت ومقدار لممارسة الرياضة في رمضانأفضل وقت لممارسة رياضة كمال الأجسام فى رمضانعادات غذائية صحية للمريض تسهل عليه الصيام فى رمضان,1,قضية صحية
كيف أعزز المناعة لأحمي نفسي وعائلتي من الأمراض وخاصة في ظل وجود فيروس كورونا ,0,  الكرز    الفليفلة بكل ألوانها وخاصة الصفراء    الزعتر البري    البقدونس    اللفت    كيوي    بروكلي    الليمون    الفريز    البرتقال    الفليفلة الحمراء الحارة    الجوافة    الزعتر البري   لحم البقر    العدس    الفول    الحمص    منتجات الالبان    البيض    الحبوب الكاملة    الفاصوليا الخضراء    البطاطا    الشوكولا الداكنة    بذور القرع    المكسرات    اللفت   العسل    الكريب فروتشوربة الدجاج المحضرة في المنزل    البطاطا الحلوة    الطماطم    البازلاء   الخوخ    الاناناس    الشمام    المانجوالسمك و التونا الطازجة      من أفضل انواع الأعشاب المساعدة الزنجبيل   الزعتر الاخضر البري   الشاي الاخضر   الميرميةاضافات اخرى مهمةالعسل   حبة البركة   الثوم   البصل  لترفع من كفاءة جهازك المناعي أيضا  هذه الاشياء لها دور كبير في التأثير على كفاءة جهازك المناعي للمزيد    تابعنا على جوجل نيوز لترى تحديثات المنشورات    راموس المصري Ramos Al Masry   أخبار Googleتعزيز جهاز المناعة لطفلك لعام جديد قويالأمراض المعدية وطريقة إنتقالهاالصحة والمرض,0,قضية صحية
دقات قلب سريعه وقويه اشعر بها بكامل صدري وضيف بالنفس واحيانا الم بالقلب يمتد ليدي اليسرى وكتفي الايسر   تاتي لي هذه الحاله بين الحين والاخر لكن اتت لي و طال هذا الامر ماذا يعني ذلك ,1,الشعور بالألم الشديد في منطقة الصدر و الذراع الأيسر ناحية الكتف و عدم القدره على التنفس لعدة ثوان التي تجبرك على الجلوس والراحهتلك العلامات اذا كانت تأتيك فهي غالبا نوبات قلبيه   heart attack   خصوصا في اوقات فعل المجهود العال الا اذا زادالأمر واصبحت تأتي في وقت الراحه ايضاالمهم ان تلك العلامات هى انذار خطر   بأنه يجب عليك زيارة طبيب قلب و دوره دمويه لقياس اللازم من ضغط و رسم للقلب وغيرهم و الالتزام بالدواء الذي سيكتب لكارجوا الذهاب للطبيب سريعا والإبتعاد عن المجهود العالي و العصبيه والحالات النفسيه ان شاء الله تكون الأمور بسيطه,1,قضية صحية
هل هناك علاج للتفكير المفرط  ,0,انا اعاني من التفكير المفرط هذه المقاله سوف تفيدك وكانت احد طرقي لتخفيف التفكير الزائد حملت تطبيق مذكرات وعندما افكر بشكل زائد اكتب كل شيء فيها وتلقائيا  اتخلص من الفكير وحتى احدد المشاكل التي سببت لي هذا التفكير واحاول ايجاد الحلول  ,1,قضية صحية
ما هي أسباب حرقان القدم  حرارة القدمين   ,0,حرق القدمين   المعروف أيض ا باسم متلازمة حرق القدم أو القدم الساخنة   هو أحد الأعراض التي يمكن أن تنتج عن مجموعة متنوعة من الحالات الأساسية  تتضمن بعض الأسباب الشائعة ما يلي حرق القدمين   المعروف أيض ا باسم متلازمة حرق القدم أو القدم الساخنة   هو أحد الأعراض التي يمكن أن تنتج عن مجموعة متنوعة من الحالات الأساسية  تتضمن بعض الأسباب الشائعة ما يلي من المهم أن ترى أخصائي رعاية صحية إذا كنت تعاني من حرقان في القدمين حيث يمكن أن يكون ذلك من أعراض حالة كامنة  يمكن أن يساعدك أخصائي الرعاية الصحية في تحديد سبب حرق قدمك ووضع خطة علاج مناسبة بصفتي خبير تغذية   أوصي بالعلاجات الطبيعية التالية لحرق القدمين من المهم ملاحظة أن هذه العلاجات قد تخفف من أعراض حرقان القدمين ولكن من المهم استشارة أخصائي رعاية صحية لتحديد السبب الكامن وراء حرق القدمين وللحصول على العلاج المناسب اتمنى ان اكون افدتك,0,قضية صحية
ما هي فوائد أ وميجا ٣ ,0,فوائد الأوميغا 31  تعزيز صحة القلب أثبتت العديد من الأبحاث أن زيادة استهلاك زيت السمك تقلل من عوامل الخطر للإصابة بأمراض الأوعية الدموية في القلب 2  خفض مستويات الدهون الثلاثية 3  تقليل خطر الولادة المبكرة 4  مكافحة الاكتئاب 5  علاج الالتهاب 6  تعزيز صحة الدماغ للمزيد  للتفصيل  فوائد أوميغا 3 لنمو الشعرما لم تكن تعرفه عن مكملات زيت السمك,0,قضية صحية
هل البيض يرفع الكولسترول الضار LDL   ,0,لا البيض لا يرفع الكولسترول الضار LDL  ويمكن أن يساعد على رفع مستويات الكولسترول الصالح HDL  والتي يعتبرها الأطباء من المهم جدا للصحة ,0,قضية صحية
ما علاج الإرهاق النفسي ,0,  من طرق علاج الارهاق النفسي 1  ممارسة الرياضة ضمن مجموعة 2  التحدث عن الصعوبات ومناقشتها مع من يهمهم أمرك  وعدم الكتمان  لأن الكتمان يؤدي إلى الإحتقان النفسي والتراكمات 3  تحكم بالتنفس وتنفس بعمق 4  خذ قسطآ كافي من النوم  أي من ٦ إلى ٨ ساعات من النوم المتواصل 5  نظ م برنامج عملك وحدد أولوياتك 6  تنظيم الغذاء على أن يكون متوازن وصحي وشرب كميات كافية من الماء للمزيد  قد يعجبك  تابعنا  ,0,قضية صحية
لماذا قشرة الشعر تتسبب فى الشعور بحكة قوية فى الرأس ,0,ليس القشرة هي المسببة للحكة السبب يأتي من أوساخ الشعر   الشعرة المكسرة والضعيفة التي تفتقد إلى بروتينات والفيتامينات من جراء الأكل الغير الصحي أي من الداخل وليس من الخارج وهذا هو سبب تساقط الشعر زيادة على ذالك إنتاج القشرة يساهم فيه بشكل كبير تغيير الشمبوهات المصنعة بمواد كيماوية وابتعادنا عن ماهو طبيعي  ,1,قضية صحية
